Fund,I_without_fund,marginal_impact
FSELX,8.110000000000003,0.4602479338842951
RSIFX,8.310000000000002,0.2602479338842958
FDCPX,8.350000000000003,0.22024793388429487
ROGSX,8.360000000000003,0.21024793388429508
SHGTX,8.470000000000002,0.10024793388429565
ICTEX,8.500000000000004,0.07024793388429451
SLMCX,8.530000000000001,0.04024793388429693
MTCAX,8.650000000000004,-0.07975206611570584
FSCSX,8.660000000000004,-0.08975206611570563
FSPTX,8.680000000000003,-0.1097520661157052
KTCAX,8.710000000000004,-0.13975206611570634
