,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,36.0,69.0,26.0,32.0,28.0,28.0,28.0,40.0,41.0,36.0
FSCSX,36.0,0.0,85.0,20.0,26.0,22.0,24.0,34.0,52.0,25.0,26.0
FSELX,69.0,85.0,0.0,73.0,93.0,87.0,87.0,95.0,37.0,84.0,81.0
FSPTX,26.0,20.0,73.0,0.0,24.0,16.0,18.0,36.0,42.0,27.0,26.0
ICTEX,32.0,26.0,93.0,24.0,0.0,20.0,20.0,22.0,64.0,29.0,36.0
KTCAX,28.0,22.0,87.0,16.0,20.0,0.0,8.0,24.0,56.0,25.0,26.0
MTCAX,28.0,24.0,87.0,18.0,20.0,8.0,0.0,22.0,56.0,27.0,32.0
ROGSX,28.0,34.0,95.0,36.0,22.0,24.0,22.0,0.0,66.0,45.0,48.0
RSIFX,40.0,52.0,37.0,42.0,64.0,56.0,56.0,66.0,0.0,53.0,50.0
SHGTX,41.0,25.0,84.0,27.0,29.0,25.0,27.0,45.0,53.0,0.0,13.0
SLMCX,36.0,26.0,81.0,26.0,36.0,26.0,32.0,48.0,50.0,13.0,0.0
