Date,Fund_Return,SPY_Return,Residual,Fund,Year,Quantile
2006-06-21,0.0243056118465783,0.0074136854124389,0.0164750877837909,RYEIX,2006,10
2011-03-17,0.030464321134743,0.013235108260484,0.0164780834833723,FSENX,2011,10
2002-08-09,0.0205410240275432,0.0037386180242722,0.0164780874644255,FSENX,2002,10
2002-04-02,0.0105912137615677,-0.0054985760472935,0.0164781341042367,RYEIX,2002,10
2003-07-17,0.0020590824614554,-0.0142113394988695,0.0164801243803055,FRNRX,2003,10
2000-06-16,0.0081585437295357,-0.0082164886197796,0.0164833302528189,FRNRX,2000,10
2001-10-17,-0.0055910366781944,-0.0212748499966586,0.0164837016532075,FSENX,2001,10
2000-10-20,0.0204831907787583,0.0042620329143645,0.0164865861662115,ICPAX,2000,10
2001-11-09,0.0176031968729728,0.0010659721607049,0.016488507292764,FRNRX,2001,10
2022-08-29,0.0093283670287329,-0.0066123021150785,0.0164906473313708,ICPAX,2022,10
2010-04-30,-0.0012901738664066,-0.0169614771639872,0.016492089453601,ICPAX,2010,10
2022-01-25,0.0049937657413043,-0.0122092105525674,0.0164935147896067,PRNEX,2022,10
2020-08-24,0.0265149793878842,0.0101331567425801,0.0164936206230633,ICPAX,2020,10
2013-05-20,0.0164658295476434,-6.0181687145721696e-05,0.0164963430107904,FRNRX,2013,10
2015-02-02,0.0291388708952318,0.0123842868447112,0.0164983447741414,FNARX,2015,10
2017-03-29,0.0175870245078522,0.0009349380928844,0.0165045460270614,FNARX,2017,10
1999-06-23,0.0116907991750871,-0.004908423780865,0.0165071588186507,FNARX,1999,10
1999-11-30,0.0045904764722435,-0.0117513382573624,0.0165099055663363,FRNRX,1999,10
2023-09-01,0.018535651003376,0.0018651049890316,0.0165141747217379,FNARX,2023,10
2004-08-03,0.008582260325934,-0.0077427201626314,0.0165166799323888,FSENX,2004,10
2000-10-06,-0.0059689573052122,-0.0216734905622464,0.0165223381183283,FSENX,2000,10
2010-04-23,0.0231934758816285,0.0065279388653742,0.01652442895954,FRNRX,2010,10
2011-12-20,0.0473280670408782,0.0302597135147759,0.0165258161124282,FRNRX,2011,10
2002-06-19,-0.0077985398715855,-0.0233401688502324,0.0165293270410586,ICPAX,2002,10
2008-03-25,0.0176112416627072,0.0009649981584605,0.0165317840721431,VGENX,2008,10
2016-03-16,0.0222298491737393,0.0057871369113915,0.0165339503641378,PRNEX,2016,10
2024-07-30,0.011400148693718,-0.0050663555906688,0.0165379170312391,FSENX,2024,10
2024-07-24,-0.0070922677396507,-0.0226627057565251,0.016540408830182,ICPAX,2024,10
2022-02-10,-0.0020731034287574,-0.0179654187741421,0.0165434643959588,FSENX,2022,10
2015-11-13,0.0053475829627864,-0.0112282719463487,0.0165437907321629,FNARX,2015,10
2009-03-09,0.0040128391520624,-0.0117526839889381,0.0165438611699317,RYEIX,2009,10
2019-06-03,0.0142811383689089,-0.0025431509359037,0.0165448934092867,PRNEX,2019,10
2008-05-13,0.0168504889941458,0.0001422839096145,0.0165455204114111,FSENX,2008,10
2001-05-18,0.021224198062882,0.0045688175541069,0.0165474115164506,FRNRX,2001,10
2002-09-27,-0.0164998711414462,-0.0347603254595669,0.0165476409471341,PRNEX,2002,10
2005-08-24,0.0076854017728056,-0.008916995360497,0.0165483899444368,FNARX,2005,10
2001-10-17,-0.0026661217967062,-0.0212748499966586,0.0165525030780314,VGENX,2001,10
2024-10-01,0.0085836501288114,-0.0089583310610659,0.0165611138545883,VGENX,2024,10
2012-03-23,0.0195035827959473,0.0032328366945515,0.0165631054905821,ICPAX,2012,10
2012-07-03,0.0230345832687832,0.0065934025432929,0.0165682914717228,PRNEX,2012,10
2020-05-08,0.0318699170659888,0.0165467555522307,0.0165691485057151,VGENX,2020,10
2005-03-11,0.0096303223199962,-0.0070111417217432,0.0165693628829357,FNARX,2005,10
2024-04-10,0.0066005853598163,-0.0100130014499816,0.0165699849851383,FNARX,2024,10
2024-07-25,0.0109895044352408,-0.0052103261236523,0.0165702001622794,RYEIX,2024,10
2016-03-07,0.0175009081102386,0.0007984558695264,0.0165717322505641,PRNEX,2016,10
2001-10-17,-0.0035874679083143,-0.0212748499966586,0.0165745690736655,PRNEX,2001,10
