Year,ENERGY_Median_Return
1999,0.31395129397750277
2000,0.40995083780891606
2001,-0.08013524304260827
2002,-0.10706614047205393
2003,0.2707573135953115
2004,0.3251753151336262
2005,0.5343025092155556
2006,0.176850244897503
2007,0.527226873333255
2008,-0.4743557026048671
2009,0.36289063107880815
2010,0.15956813638490674
2011,-0.051827741133364746
2012,-0.01683150985103382
2013,0.2177071013132419
2014,-0.042515862755061196
2015,-0.22423593681078485
2016,0.3213599981331634
2017,-0.02724865394990128
2018,-0.26530864394026465
2019,0.1083413174676735
2020,-0.27989005669642714
2021,0.34719206435481587
2022,0.3235458113552928
2023,0.08718935796061911
2024,0.043685406810840766
2025,0.19412082925490037
