sector,Fund,mean,std,p2.5,p97.5
energy,FNARX,-0.0722811055,0.09191490643129392,-0.241111,0.10113877499999986
energy,FSENX,-0.1832411055,0.09255062552918975,-0.33783355000000004,0.017805774999999847
energy,ICPAX,0.3423588945,0.18940853564448681,-0.06691699999999999,0.6722497749999998
energy,PRNEX,0.9107388945,0.21485901774241153,0.46,1.292222
energy,RYEIX,-0.2262611055,0.08731887409012756,-0.384444,-0.047778
energy,VGENX,0.4032788945,0.17590914099433283,0.075556,0.7600277749999999
healthcare,ETHSX,0.0382494145,0.04955627877435585,-0.062307,0.13175679999999998
healthcare,FACDX,-0.1322193355,0.04379984360000191,-0.213353825,-0.04494117500000003
healthcare,FBDIX,0.387163477,0.07295962291941166,0.24170017500000002,0.5223818
healthcare,FSHCX,0.242694727,0.06758006660680917,0.109553525,0.37423765
healthcare,FSMEX,0.081804102,0.06889554094143828,-0.0536318,0.21471347499999993
healthcare,FSPHX,-0.120930273,0.040652098489010996,-0.2008293,-0.04378417500000003
healthcare,PHSTX,0.020788477,0.048625427811685176,-0.0779513,0.11188782499999997
healthcare,PRHSX,0.1370775395,0.05426842955642535,0.034316725,0.24134794999999984
healthcare,VGHCX,0.2193275395,0.08755162235196257,0.068258075,0.388696
real estate,CSEIX,0.055481201,0.06789866760433387,-0.07752925000000001,0.19596239999999995
real estate,DFREX,-0.036993799,0.058951169522382045,-0.14223515,0.08968967499999989
real estate,DPREX,0.11829620099999999,0.1265469641214154,-0.126630575,0.31355812499999997
real estate,FREAX,-0.026623798999999997,0.07097007189424942,-0.14785720000000002,0.10604127499999996
real estate,FRESX,-0.071368799,0.04919101085957976,-0.15744007499999998,0.03694407499999999
real estate,IARAX,-0.009958799,0.06437879386368052,-0.13100024999999998,0.12233052499999991
real estate,PHRAX,-0.035903799,0.06765992907684693,-0.152397,0.10614077499999987
real estate,RPFRX,0.214276201,0.09629022936652665,0.024369675,0.39976852499999993
real estate,SOAAX,0.17018120099999998,0.09660513896760398,-0.008514075000000001,0.3753185499999994
real estate,STMDX,0.021301201,0.06335396499598868,-0.089671075,0.15596239999999995
real estate,TRREX,-0.003538799,0.06156281486449121,-0.104813675,0.13764639999999975
technology,FDCPX,0.1704711595,0.048557110474181465,0.07692755,0.25901419999999997
technology,FSCSX,-0.0357038405,0.032236243634143846,-0.098678,0.026700199999999966
technology,FSELX,0.25624615949999996,0.07109392644295714,0.12941687500000001,0.3939067249999999
technology,FSPTX,-0.0380588405,0.0345028467724152,-0.104975525,0.030585174999999964
technology,ICTEX,0.023616159499999997,0.043642749657381706,-0.060579,0.107851
technology,KTCAX,-0.0825788405,0.037586783278190525,-0.15149832500000002,-0.007435925000000012
technology,MTCAX,-0.0373588405,0.03472870066973659,-0.103892275,0.028021124999999977
technology,ROGSX,0.1174011595,0.05024845444419241,0.018678,0.216283075
technology,RSIFX,0.1977511595,0.055927609707163754,0.089995875,0.30391292499999983
technology,SHGTX,0.0627511595,0.06049842984574028,-0.044142324999999996,0.186531075
technology,SLMCX,0.0144261595,0.04815768522043972,-0.0799418,0.11158239999999993
utilities,BULIX,-0.027199616500000003,0.04174616944949901,-0.1033361,0.060135349999999935
utilities,EVUAX,0.0270349265,0.04793864678417458,-0.0571847,0.12841352499999992
utilities,FIUIX,0.017226294500000003,0.060187386578180374,-0.10509595000000001,0.13395717499999996
utilities,FKUTX,0.074886788,0.04756899890222977,-0.020753349999999997,0.16174034999999995
utilities,FSUTX,0.034553462,0.06114743776080816,-0.087684875,0.14618224999999996
utilities,FUGAX,0.053399135,0.055901365093684804,-0.059759175,0.15568517499999998
utilities,GASFX,0.0227818465,0.0566075397406978,-0.0781727,0.14323159999999988
utilities,ICTUX,0.1652818605,0.06979391013487489,0.029364475,0.3026145999999999
utilities,MMUFX,0.1879546915,0.07560838093957892,0.048611125,0.33828125
utilities,PRUAX,0.1172818425,0.07330409194549566,-0.017910275,0.270247
