,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,8.0,36.0,45.0,6.0,28.0
FSENX,8.0,0.0,40.0,49.0,4.0,32.0
ICPAX,36.0,40.0,0.0,57.0,36.0,52.0
PRNEX,45.0,49.0,57.0,0.0,45.0,23.0
RYEIX,6.0,4.0,36.0,45.0,0.0,28.0
VGENX,28.0,32.0,52.0,23.0,28.0,0.0
