,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,7.0,14.0,24.0,6.0,19.0
FSENX,7.0,0.0,14.0,25.0,4.0,21.0
ICPAX,14.0,14.0,0.0,24.0,13.0,24.0
PRNEX,24.0,25.0,24.0,0.0,23.0,17.0
RYEIX,6.0,4.0,13.0,23.0,0.0,19.0
VGENX,19.0,21.0,24.0,17.0,19.0,0.0
