Fund,Year,L2_Distance,Quantile
ETHSX,1999,0.00789708625240958,5
ETHSX,2000,0.015555893339037504,10
ETHSX,2001,0.011084208709837754,8
ETHSX,2002,0.009520521961697061,7
ETHSX,2003,0.007810955543619576,5
ETHSX,2004,0.006678598369167386,3
ETHSX,2005,0.00634942341357233,3
ETHSX,2006,0.005489663843847067,2
ETHSX,2007,0.013736857794345579,10
ETHSX,2008,0.015430157060977752,10
ETHSX,2009,0.007581901394025454,4
ETHSX,2010,0.00664180253284821,3
ETHSX,2011,0.00816444771318195,5
ETHSX,2012,0.011080905142798792,8
ETHSX,2013,0.009755142101392368,7
ETHSX,2014,0.014131855797600255,10
ETHSX,2015,0.010771102986454372,8
ETHSX,2016,0.01247076549690606,9
ETHSX,2017,0.0050960777998855684,1
ETHSX,2018,0.005283821162174936,2
ETHSX,2019,0.006237280405210828,2
ETHSX,2020,0.00857371220368157,6
ETHSX,2021,0.007634606384460313,4
ETHSX,2022,0.006769156486851878,3
ETHSX,2023,0.0056041386005016795,2
ETHSX,2024,0.006689923885845592,3
ETHSX,2025,0.009930968984650122,7
ETHSX,2026,0.0004543192824676,1
FACDX,1999,0.008874402126897584,6
FACDX,2000,0.014654036460047738,10
FACDX,2001,0.011147204127531502,8
FACDX,2002,0.00956792334749646,7
FACDX,2003,0.005817299608966769,2
FACDX,2004,0.005284596808249853,2
FACDX,2005,0.004279474325550463,1
FACDX,2006,0.00801801317750371,5
FACDX,2007,0.005803586514349173,2
FACDX,2008,0.00784263848192937,5
FACDX,2009,0.00838127615834052,6
FACDX,2010,0.004554141551132252,1
FACDX,2011,0.009277566475370128,7
FACDX,2012,0.007040737724099691,4
FACDX,2013,0.007667149758487202,4
FACDX,2014,0.010666414917968268,8
FACDX,2015,0.009254301978939497,7
FACDX,2016,0.008420143220756645,6
FACDX,2017,0.005164252600527978,1
FACDX,2018,0.005877341071184593,2
FACDX,2019,0.0064920288226187495,3
FACDX,2020,0.009515603143980807,7
FACDX,2021,0.008401637723741804,6
FACDX,2022,0.00857864781979758,6
FACDX,2023,0.0062210004406389845,2
FACDX,2024,0.011263782103202623,9
FACDX,2025,0.012522292132928815,9
FACDX,2026,0.0003289090006651,1
FBDIX,1999,0.012587882551356818,9
FBDIX,2000,0.030569098382899052,10
FBDIX,2001,0.019538144895407172,10
FBDIX,2002,0.0174112351899829,10
FBDIX,2003,0.011734174215865333,9
FBDIX,2004,0.010664063168511399,8
FBDIX,2005,0.010190046210887576,8
FBDIX,2006,0.007214571542383316,4
FBDIX,2007,0.006318609713434824,3
FBDIX,2008,0.012609078803582347,9
FBDIX,2009,0.010620990115111544,8
FBDIX,2010,0.006691904912611525,3
FBDIX,2011,0.012605736773965329,9
FBDIX,2012,0.008044626305320237,5
FBDIX,2013,0.011250127688783826,9
FBDIX,2014,0.014324365197071514,10
FBDIX,2015,0.016046356359865663,10
FBDIX,2016,0.016258060370687142,10
FBDIX,2017,0.010223745850562866,8
FBDIX,2018,0.01087780611971522,8
FBDIX,2019,0.013200132692463666,9
FBDIX,2020,0.016316947560742968,10
FBDIX,2021,0.017012488513213943,10
FBDIX,2022,0.01239819489554158,9
FBDIX,2023,0.009670230359263548,7
FBDIX,2024,0.011811675821443038,9
FBDIX,2025,0.015277470301113672,10
FBDIX,2026,0.0003911594136461,1
FSHCX,1999,0.012912586695699552,9
FSHCX,2000,0.013246078833224222,9
FSHCX,2001,0.013548617324627374,10
FSHCX,2002,0.017666866820541107,10
FSHCX,2003,0.011769252853647067,9
FSHCX,2004,0.009599590760559171,7
FSHCX,2005,0.006332127972802245,3
FSHCX,2006,0.008895829246080416,6
FSHCX,2007,0.006367085541741481,3
FSHCX,2008,0.013237370824924663,9
FSHCX,2009,0.013662594354866383,10
FSHCX,2010,0.007077069096866816,4
FSHCX,2011,0.00780840588034146,4
FSHCX,2012,0.0075621670789433005,4
FSHCX,2013,0.005896345071258577,2
FSHCX,2014,0.010186606116136835,8
FSHCX,2015,0.008081659405942248,5
FSHCX,2016,0.00816240751711716,5
FSHCX,2017,0.009222900663931173,7
FSHCX,2018,0.007845880237379584,5
FSHCX,2019,0.01042889360266789,8
FSHCX,2020,0.01424378014333128,10
FSHCX,2021,0.009201982913890032,6
FSHCX,2022,0.010064871621617195,8
FSHCX,2023,0.009064897148705073,6
FSHCX,2024,0.013542606511533094,9
FSHCX,2025,0.014190682274278553,10
FSHCX,2026,0.0003578660922518,1
FSMEX,1999,0.00857681242948417,6
FSMEX,2000,0.015525968701326942,10
FSMEX,2001,0.01023200700102494,8
FSMEX,2002,0.009995243107380735,7
FSMEX,2003,0.005510272325789894,2
FSMEX,2004,0.00543804303613669,2
FSMEX,2005,0.004754164261029694,1
FSMEX,2006,0.006859748181147317,3
FSMEX,2007,0.006396444414916573,3
FSMEX,2008,0.009755125538875005,7
FSMEX,2009,0.009335080377025186,7
FSMEX,2010,0.005209572650732825,1
FSMEX,2011,0.007494109758891993,4
FSMEX,2012,0.004938979082760896,1
FSMEX,2013,0.0079213612412328,5
FSMEX,2014,0.018719563789749205,10
FSMEX,2015,0.010355456649663518,8
FSMEX,2016,0.008377551533409739,6
FSMEX,2017,0.006739319589696344,3
FSMEX,2018,0.006164971867368753,2
FSMEX,2019,0.006899515838805573,3
FSMEX,2020,0.010297164071527417,8
FSMEX,2021,0.009409407485756775,7
FSMEX,2022,0.010441690646949948,8
FSMEX,2023,0.007911354345979688,5
FSMEX,2024,0.00857957687224582,6
FSMEX,2025,0.0088583387867783,6
FSMEX,2026,0.0005073887249663,1
FSPHX,1999,0.009829006155951552,7
FSPHX,2000,0.01639951494974279,10
FSPHX,2001,0.011251791386507504,9
FSPHX,2002,0.009554841577190262,7
FSPHX,2003,0.005832232351236095,2
FSPHX,2004,0.005243036746888653,2
FSPHX,2005,0.008372715063531593,5
FSPHX,2006,0.008237349601964256,5
FSPHX,2007,0.0069182122319203735,4
FSPHX,2008,0.008207535221874134,5
FSPHX,2009,0.008314916781999217,5
FSPHX,2010,0.004565250774271052,1
FSPHX,2011,0.009269331037990516,7
FSPHX,2012,0.006699097507866049,3
FSPHX,2013,0.00852163271036456,6
FSPHX,2014,0.015967835620217002,10
FSPHX,2015,0.010028151011070878,8
FSPHX,2016,0.008572665199583005,6
FSPHX,2017,0.005511623131333169,2
FSPHX,2018,0.006370823863830472,3
FSPHX,2019,0.006694987009408367,3
FSPHX,2020,0.010762402541428821,8
FSPHX,2021,0.008503798872086092,6
FSPHX,2022,0.008663481814260441,6
FSPHX,2023,0.006232393228172004,2
FSPHX,2024,0.00864508673267106,6
FSPHX,2025,0.009652935946664233,7
FSPHX,2026,0.0004181661366917,1
PHSTX,1999,0.007944762703400804,5
PHSTX,2000,0.01404516161969015,10
PHSTX,2001,0.010937339572588465,8
PHSTX,2002,0.008447299195532325,6
PHSTX,2003,0.005513233539407859,2
PHSTX,2004,0.006536699638329788,3
PHSTX,2005,0.006547859432089436,3
PHSTX,2006,0.007918228815084073,5
PHSTX,2007,0.008497352188862406,6
PHSTX,2008,0.014519615912732996,10
PHSTX,2009,0.007615326942098809,4
PHSTX,2010,0.006223011150713687,2
PHSTX,2011,0.009382212966107726,7
PHSTX,2012,0.0056335481043157136,2
PHSTX,2013,0.008942281737338588,6
PHSTX,2014,0.006948937224876755,4
PHSTX,2015,0.012764679946412524,9
PHSTX,2016,0.010548027051947542,8
PHSTX,2017,0.013389321470782374,9
PHSTX,2018,0.006083184260931142,2
PHSTX,2019,0.006596196425747898,3
PHSTX,2020,0.009430540449740982,7
PHSTX,2021,0.01044085071631318,8
PHSTX,2022,0.00846101449137736,6
PHSTX,2023,0.007259786980328629,4
PHSTX,2024,0.0071202890740086466,4
PHSTX,2025,0.009398072404367434,7
PHSTX,2026,0.0003992038925339,1
PRHSX,1999,0.0113273818306757,9
PRHSX,2000,0.020658647445388263,10
PRHSX,2001,0.013337086647628444,9
PRHSX,2002,0.011387725148610285,9
PRHSX,2003,0.00751599533427631,4
PRHSX,2004,0.007239489328084467,4
PRHSX,2005,0.007121064298867956,4
PRHSX,2006,0.006326741387897319,3
PRHSX,2007,0.00786791123083204,5
PRHSX,2008,0.00924289904118898,7
PRHSX,2009,0.008136943308567459,5
PRHSX,2010,0.005235673043402299,1
PRHSX,2011,0.006743700644046794,3
PRHSX,2012,0.006016129954560174,2
PRHSX,2013,0.007844092147344483,5
PRHSX,2014,0.011221269410234932,8
PRHSX,2015,0.012137845197162482,9
PRHSX,2016,0.00920343748136685,6
PRHSX,2017,0.007988012756035147,5
PRHSX,2018,0.006892366761034138,3
PRHSX,2019,0.008332176314172811,5
PRHSX,2020,0.009797724679402996,7
PRHSX,2021,0.009864660759619184,7
PRHSX,2022,0.0073678585057913686,4
PRHSX,2023,0.006606291161516748,3
PRHSX,2024,0.010941937027965377,8
PRHSX,2025,0.012590616105324248,9
PRHSX,2026,0.0004770400989832,1
VGHCX,1999,0.007000775535447956,4
VGHCX,2000,0.012563919625515639,9
VGHCX,2001,0.008750843444904368,6
VGHCX,2002,0.008222317893906275,5
VGHCX,2003,0.0050626491436746475,1
VGHCX,2004,0.003997993861334988,1
VGHCX,2005,0.003956563315160343,1
VGHCX,2006,0.004259195750782499,1
VGHCX,2007,0.005124084314751247,1
VGHCX,2008,0.010162603548588634,8
VGHCX,2009,0.007450007319628598,4
VGHCX,2010,0.004050256070877589,1
VGHCX,2011,0.004342192618205518,1
VGHCX,2012,0.0029937719309840426,1
VGHCX,2013,0.005309053422459828,2
VGHCX,2014,0.00713795412649802,4
VGHCX,2015,0.006932728146362299,4
VGHCX,2016,0.007901666566615688,5
VGHCX,2017,0.005270088436901799,2
VGHCX,2018,0.0053798001144851485,2
VGHCX,2019,0.007457144087857078,4
VGHCX,2020,0.008140088415558428,5
