Fund,Year,L2_Distance,Quantile
BULIX,1999,0.007452283303980286,5
BULIX,2000,0.010459997949245417,9
BULIX,2001,0.00941787214221107,8
BULIX,2002,0.010065563106299344,8
BULIX,2003,0.005039021574385712,3
BULIX,2004,0.0043951808038467915,2
BULIX,2005,0.005007067360354862,3
BULIX,2006,0.003695055741236475,1
BULIX,2007,0.005471971104754755,4
BULIX,2008,0.009744823844628693,8
BULIX,2009,0.006679044740620689,5
BULIX,2010,0.00397344185363245,1
BULIX,2011,0.00428813406086939,2
BULIX,2012,0.005742938194340499,4
BULIX,2013,0.0058431704059738986,4
BULIX,2014,0.006041003012501683,4
BULIX,2015,0.0064372806764023465,4
BULIX,2016,0.00788565543502333,6
BULIX,2017,0.005473396545693377,4
BULIX,2018,0.008262201788846187,6
BULIX,2019,0.006353318657914071,4
BULIX,2020,0.013314562631095136,10
BULIX,2021,0.007812224440692174,6
BULIX,2022,0.009819863215771168,8
BULIX,2023,0.009614414259713287,8
BULIX,2024,0.009898848110397932,8
BULIX,2025,0.010841593911569152,9
BULIX,2026,0.0001292483475621,1
EVUAX,1999,0.00940352332735926,8
EVUAX,2000,0.013283489320011723,10
EVUAX,2001,0.009100516683528747,7
EVUAX,2002,0.009562467792393314,8
EVUAX,2003,0.004893186028068445,2
EVUAX,2004,0.00425742526537012,1
EVUAX,2005,0.005038560212323019,3
EVUAX,2006,0.0038722148688844415,1
EVUAX,2007,0.005486692940569191,4
EVUAX,2008,0.009008097687576695,7
EVUAX,2009,0.005075295086042721,3
EVUAX,2010,0.0043129957686433825,2
EVUAX,2011,0.004008692209953666,1
EVUAX,2012,0.0035616737863945706,1
EVUAX,2013,0.003918164800566464,1
EVUAX,2014,0.004946380470687375,2
EVUAX,2015,0.005909228299187523,4
EVUAX,2016,0.006952485517454343,5
EVUAX,2017,0.004987728156986145,3
EVUAX,2018,0.007217135651308292,5
EVUAX,2019,0.014448277109262928,10
EVUAX,2020,0.014396971275856655,10
EVUAX,2021,0.011180243725595023,9
EVUAX,2022,0.010991087559346302,9
EVUAX,2023,0.008671395765985683,7
EVUAX,2024,0.008953551748891469,7
EVUAX,2025,0.00871330873087963,7
EVUAX,2026,0.0002345566534064,1
FIUIX,1999,0.008834889954436998,7
FIUIX,2000,0.022091186275840516,10
FIUIX,2001,0.007686452779936445,6
FIUIX,2002,0.010328043744261129,9
FIUIX,2003,0.005950945464199997,4
FIUIX,2004,0.004408120003368673,2
FIUIX,2005,0.004710655101461869,2
FIUIX,2006,0.003846146534392997,1
FIUIX,2007,0.005343704476151747,3
FIUIX,2008,0.009691230276448038,8
FIUIX,2009,0.0071510724772212925,5
FIUIX,2010,0.004079893393952949,1
FIUIX,2011,0.004636266926286111,2
FIUIX,2012,0.00406927355434934,1
FIUIX,2013,0.00440139405398015,2
FIUIX,2014,0.004596221349902498,2
FIUIX,2015,0.00514423485179587,3
FIUIX,2016,0.006361996077891091,4
FIUIX,2017,0.004854099717221018,2
FIUIX,2018,0.008038693375438498,6
FIUIX,2019,0.006563217314197141,5
FIUIX,2020,0.010175196915788928,9
FIUIX,2021,0.00682121953879682,5
FIUIX,2022,0.008669119679214982,7
FIUIX,2023,0.00821701262950826,6
FIUIX,2024,0.009462418887316134,8
FIUIX,2025,0.009606676987357784,8
FIUIX,2026,0.0001531282144734,1
FKUTX,1999,0.008213206427240292,6
FKUTX,2000,0.012850380995233123,10
FKUTX,2001,0.012774089377638097,10
