Fund,Year,L2_Distance,Quantile
FNARX,1999,0.016626827292670985,9
FNARX,2000,0.020252994493067892,10
FNARX,2001,0.014861644284219664,8
FNARX,2002,0.011195958065142444,6
FNARX,2003,0.009603912172523517,4
FNARX,2004,0.009083853193571047,3
FNARX,2005,0.012282188033577227,7
FNARX,2006,0.013631159702637936,8
FNARX,2007,0.009515529200440886,4
FNARX,2008,0.027788353431075715,10
FNARX,2009,0.015374523409147104,8
FNARX,2010,0.007779049160884379,2
FNARX,2011,0.010397363969305224,5
FNARX,2012,0.007180591246312533,2
FNARX,2013,0.006799138199125888,1
FNARX,2014,0.012256240422002372,7
FNARX,2015,0.012498490432921292,7
FNARX,2016,0.014764359737014418,8
FNARX,2017,0.009988361638530466,4
FNARX,2018,0.009355387869694058,4
FNARX,2019,0.00821595717315379,2
FNARX,2020,0.01817217734040686,9
FNARX,2021,0.013774659155130703,8
FNARX,2022,0.019738563014436054,10
FNARX,2023,0.012686473343874507,7
FNARX,2024,0.010461371063425309,5
FNARX,2025,0.010023860404879995,4
FNARX,2026,0.0001386641859764,1
FRNRX,1999,0.014645691968531507,8
FRNRX,2000,0.01796101144853953,9
FRNRX,2001,0.01585240154640341,9
FRNRX,2002,0.010035569518567093,4
FRNRX,2003,0.009121823175203507,3
FRNRX,2004,0.009083913302629932,3
FRNRX,2005,0.011631930518467075,6
FRNRX,2006,0.013731350095594437,8
FRNRX,2007,0.00945198491887083,4
FRNRX,2008,0.0252887492960514,10
FRNRX,2009,0.01319213713018789,7
FRNRX,2010,0.007662915645397827,2
FRNRX,2011,0.01033071815550245,5
FRNRX,2012,0.007916704706326577,2
FRNRX,2013,0.006617515187230811,1
FRNRX,2014,0.009921429211126188,4
FRNRX,2015,0.013573563841737598,8
FRNRX,2016,0.014117149239495181,8
FRNRX,2017,0.009514557297732864,4
FRNRX,2018,0.010137407162658691,5
FRNRX,2019,0.010129850730073246,5
FRNRX,2020,0.02163676855648954,10
FRNRX,2021,0.013173765994061271,7
FRNRX,2022,0.016006020346988524,9
FRNRX,2023,0.010624052312795338,5
FRNRX,2024,0.009383606227512019,4
FRNRX,2025,0.008952415113965235,3
FRNRX,2026,3.068621343807686e-05,1
FSENX,1999,0.01683816659510053,9
FSENX,2000,0.022128749650257528,10
FSENX,2001,0.0181030464041981,9
FSENX,2002,0.012441862560027833,7
FSENX,2003,0.011112027536610787,6
FSENX,2004,0.010210513098389886,5
FSENX,2005,0.012945894236169698,7
FSENX,2006,0.014578924272375959,8
FSENX,2007,0.010293760424296163,5
FSENX,2008,0.02746940705511422,10
