Fund,Year,L2_Norm,Sector,Decile_Cluster
FSHCX,2024,0.1535585404231609,healthcare,8
FSHCX,2025,0.2068946477784715,healthcare,10
FSMEX,1999,0.1334416085414817,healthcare,7
FSMEX,2000,0.1894120317536428,healthcare,9
FSMEX,2001,0.14919298281287,healthcare,8
FSMEX,2002,0.1512493891253004,healthcare,8
FSMEX,2003,0.0825967794229639,healthcare,3
FSMEX,2004,0.085277082233667,healthcare,3
FSMEX,2005,0.0658315248514943,healthcare,2
FSMEX,2006,0.0782695545730024,healthcare,3
FSMEX,2007,0.0707560963896195,healthcare,2
FSMEX,2008,0.1412639763562505,healthcare,8
FSMEX,2009,0.1408512400672289,healthcare,8
FSMEX,2010,0.081861576717095,healthcare,3
FSMEX,2011,0.07886532337581,healthcare,3
FSMEX,2012,0.0700728990640861,healthcare,2
FSMEX,2013,0.0674331547804512,healthcare,2
FSMEX,2014,0.1715843590842261,healthcare,9
FSMEX,2015,0.0931849494827311,healthcare,4
FSMEX,2016,0.1177817307485284,healthcare,6
FSMEX,2017,0.0827836817705651,healthcare,3
FSMEX,2018,0.0797163338284409,healthcare,3
FSMEX,2019,0.1009691173293169,healthcare,5
FSMEX,2020,0.1435146733979141,healthcare,8
FSMEX,2021,0.1267883516588751,healthcare,7
FSMEX,2022,0.1454078271763993,healthcare,8
FSMEX,2023,0.1225165608595757,healthcare,6
FSMEX,2024,0.1147763434374688,healthcare,6
FSMEX,2025,0.1238224488498734,healthcare,6
FSPHX,1999,0.1438275740062244,healthcare,8
FSPHX,2000,0.2230848074620351,healthcare,10
FSPHX,2001,0.1653846155708402,healthcare,9
FSPHX,2002,0.1504550866750706,healthcare,8
FSPHX,2003,0.0913650064719895,healthcare,4
FSPHX,2004,0.0817134821236643,healthcare,3
FSPHX,2005,0.0673749677082946,healthcare,2
FSPHX,2006,0.0659592511698352,healthcare,2
FSPHX,2007,0.0534820970256923,healthcare,1
FSPHX,2008,0.1159325582466785,healthcare,6
FSPHX,2009,0.1243376526634966,healthcare,7
FSPHX,2010,0.0710282380108307,healthcare,2
FSPHX,2011,0.0719291328070732,healthcare,2
FSPHX,2012,0.0677094677399527,healthcare,2
FSPHX,2013,0.0765806401703957,healthcare,2
FSPHX,2014,0.1584050298228956,healthcare,9
FSPHX,2015,0.1237610147190931,healthcare,6
FSPHX,2016,0.1268205358844844,healthcare,7
FSPHX,2017,0.0808324054062099,healthcare,3
FSPHX,2018,0.0795816653213817,healthcare,3
FSPHX,2019,0.1004068521525927,healthcare,5
FSPHX,2020,0.1348204765315341,healthcare,7
FSPHX,2021,0.1023523472269407,healthcare,5
FSPHX,2022,0.1309328908919738,healthcare,7
FSPHX,2023,0.0973773576484716,healthcare,4
FSPHX,2024,0.1038845473809969,healthcare,5
FSPHX,2025,0.1305575560055643,healthcare,7
PHSTX,1999,0.1230834068523732,healthcare,6
PHSTX,2000,0.2134472793059645,healthcare,10
PHSTX,2001,0.1673820708626146,healthcare,9
PHSTX,2002,0.1334965780581988,healthcare,7
PHSTX,2003,0.0863749352403582,healthcare,3
PHSTX,2004,0.0745426972198654,healthcare,2
PHSTX,2005,0.0647069385301086,healthcare,2
PHSTX,2006,0.0597193108825271,healthcare,1
PHSTX,2007,0.053583183904658,healthcare,1
PHSTX,2008,0.1178330743952453,healthcare,6
PHSTX,2009,0.1104689339345594,healthcare,5
PHSTX,2010,0.067198134922359,healthcare,2
PHSTX,2011,0.067015100643735,healthcare,2
PHSTX,2012,0.0548053408217895,healthcare,1
PHSTX,2013,0.0568915161163279,healthcare,1
PHSTX,2014,0.0842488806507171,healthcare,3
PHSTX,2015,0.1063113897238933,healthcare,5
PHSTX,2016,0.1127151072301295,healthcare,6
PHSTX,2017,0.0684569084155315,healthcare,2
PHSTX,2018,0.064403788825818,healthcare,2
PHSTX,2019,0.0848412774957332,healthcare,3
PHSTX,2020,0.11236881043371,healthcare,6
PHSTX,2021,0.0788231027793046,healthcare,3
PHSTX,2022,0.0980542439697568,healthcare,4
PHSTX,2023,0.0902089832043289,healthcare,4
PHSTX,2024,0.0904403454617822,healthcare,4
PHSTX,2025,0.1385515176684205,healthcare,8
PRHSX,1999,0.1337998710359764,healthcare,7
PRHSX,2000,0.2993815699828575,healthcare,10
PRHSX,2001,0.2108403437749744,healthcare,10
PRHSX,2002,0.1795508541981079,healthcare,9
PRHSX,2003,0.1188359452709158,healthcare,6
PRHSX,2004,0.1063966732991158,healthcare,5
PRHSX,2005,0.1005381520204226,healthcare,5
PRHSX,2006,0.0814843371904837,healthcare,3
PRHSX,2007,0.0569176422435647,healthcare,1
PRHSX,2008,0.1410592165971979,healthcare,8
PRHSX,2009,0.1207643435208581,healthcare,6
PRHSX,2010,0.0807081390771666,healthcare,3
PRHSX,2011,0.0900789559181104,healthcare,4
PRHSX,2012,0.0845862775841221,healthcare,3
PRHSX,2013,0.0856876008678405,healthcare,3
PRHSX,2014,0.1149890984273287,healthcare,6
PRHSX,2015,0.1269715805736926,healthcare,7
PRHSX,2016,0.1301635304140917,healthcare,7
PRHSX,2017,0.0920117515817709,healthcare,4
PRHSX,2018,0.0866357605764573,healthcare,3
PRHSX,2019,0.1050268563839823,healthcare,5
PRHSX,2020,0.1357239174907415,healthcare,7
PRHSX,2021,0.1191060643779365,healthcare,6
PRHSX,2022,0.1150981542908841,healthcare,6
PRHSX,2023,0.0892386205496946,healthcare,4
PRHSX,2024,0.099652645678223,healthcare,5
PRHSX,2025,0.1328608900195216,healthcare,7
SPY,1999,7.295920722536886e-06,healthcare,1
SPY,2000,7.919289927774363e-06,healthcare,1
SPY,2001,7.122641856693431e-06,healthcare,1
SPY,2002,8.58067931814203e-06,healthcare,1
SPY,2003,8.64934192944911e-06,healthcare,1
SPY,2004,7.650076521510294e-06,healthcare,1
SPY,2005,6.157244905375693e-06,healthcare,1
SPY,2006,5.838773460298096e-06,healthcare,1
SPY,2007,6.776067706460308e-06,healthcare,1
SPY,2008,6.183331002242675e-06,healthcare,1
SPY,2009,6.491415219928968e-06,healthcare,1
SPY,2010,5.430407568406071e-06,healthcare,1
SPY,2011,4.790213669406377e-06,healthcare,1
SPY,2012,5.544198958431018e-06,healthcare,1
SPY,2013,6.24315814547322e-06,healthcare,1
SPY,2014,5.343786278397521e-06,healthcare,1
SPY,2015,4.824160114454516e-06,healthcare,1
SPY,2016,4.808953814569827e-06,healthcare,1
SPY,2017,3.4974083905991817e-06,healthcare,1
SPY,2018,4.696512670229357e-06,healthcare,1
SPY,2019,4.484753849945574e-06,healthcare,1
SPY,2020,4.466574530142402e-06,healthcare,1
SPY,2021,3.128869266939762e-06,healthcare,1
SPY,2022,2.5187519170785e-06,healthcare,1
SPY,2023,2.142930654048192e-06,healthcare,1
SPY,2024,2.340284104344108e-06,healthcare,1
SPY,2025,1.529883074361443e-06,healthcare,1
VGHCX,1999,0.0988535407899483,healthcare,4
VGHCX,2000,0.1567303827903938,healthcare,9
VGHCX,2001,0.1214399357456535,healthcare,6
VGHCX,2002,0.1103687875983567,healthcare,5
VGHCX,2003,0.0795817332581922,healthcare,3
VGHCX,2004,0.0596665067509889,healthcare,1
VGHCX,2005,0.0537062941714091,healthcare,1
VGHCX,2006,0.0578352076172307,healthcare,1
VGHCX,2007,0.0521789010393876,healthcare,1
VGHCX,2008,0.1148402238921667,healthcare,6
VGHCX,2009,0.1135115968397695,healthcare,6
VGHCX,2010,0.0588017908071654,healthcare,1
VGHCX,2011,0.0540446366644276,healthcare,1
VGHCX,2012,0.0452705437113474,healthcare,1
VGHCX,2013,0.04755873304446,healthcare,1
VGHCX,2014,0.0690745080443111,healthcare,2
VGHCX,2015,0.0889489414974006,healthcare,4
VGHCX,2016,0.0983254495514492,healthcare,4
VGHCX,2017,0.0723611487141772,healthcare,2
VGHCX,2018,0.0645240425275655,healthcare,2
VGHCX,2019,0.0819298616586565,healthcare,3
VGHCX,2020,0.1078095482766434,healthcare,5
VGHCX,2021,0.0820602188020097,healthcare,3
VGHCX,2022,0.1045967743990711,healthcare,5
VGHCX,2023,0.0854889050456116,healthcare,3
VGHCX,2024,0.0924564046078326,healthcare,4
VGHCX,2025,0.1413508800723898,healthcare,8
