Fund,I_without_fund,marginal_impact
FBDIX,6.75,0.8425925925925943
FSHCX,7.15625,0.43634259259259434
PRHSX,7.328125,0.26446759259259434
VGHCX,7.4375,0.15509259259259434
FSMEX,7.453125,0.13946759259259434
ETHSX,7.65625,-0.06365740740740566
PHSTX,7.703125,-0.11053240740740566
FSPHX,7.875,-0.28240740740740566
FACDX,7.90625,-0.31365740740740566
