,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,15.0,53.0,35.0,22.0,18.0,7.0,16.0,15.0
FACDX,15.0,0.0,48.0,30.0,13.0,3.0,12.0,15.0,18.0
FBDIX,53.0,48.0,0.0,22.0,43.0,45.0,60.0,37.0,66.0
FSHCX,35.0,30.0,22.0,0.0,27.0,31.0,40.0,25.0,46.0
FSMEX,22.0,13.0,43.0,27.0,0.0,10.0,23.0,18.0,25.0
FSPHX,18.0,3.0,45.0,31.0,10.0,0.0,15.0,16.0,21.0
PHSTX,7.0,12.0,60.0,40.0,23.0,15.0,0.0,23.0,8.0
PRHSX,16.0,15.0,37.0,25.0,18.0,16.0,23.0,0.0,29.0
VGHCX,15.0,18.0,66.0,46.0,25.0,21.0,8.0,29.0,0.0
