,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,13.0,25.0,20.0,18.0,15.0,6.0,16.0,12.0
FACDX,13.0,0.0,24.0,19.0,12.0,2.0,11.0,14.0,14.0
FBDIX,25.0,24.0,0.0,12.0,24.0,23.0,25.0,24.0,26.0
FSHCX,20.0,19.0,12.0,0.0,20.0,20.0,21.0,21.0,24.0
FSMEX,18.0,12.0,24.0,20.0,0.0,10.0,19.0,15.0,20.0
FSPHX,15.0,2.0,23.0,20.0,10.0,0.0,12.0,14.0,15.0
PHSTX,6.0,11.0,25.0,21.0,19.0,12.0,0.0,21.0,7.0
PRHSX,16.0,14.0,24.0,21.0,15.0,14.0,21.0,0.0,21.0
VGHCX,12.0,14.0,26.0,24.0,20.0,15.0,7.0,21.0,0.0
