Variable,Coefficient,P_value
const,0.02835167296163529,6.929463158675066e-50
I_P,-0.001510481369083055,3.8997540514777185e-61
Avg_Constituent_Vol,0.8987728409544993,0.0
N_Funds,-0.00017451397753050527,0.009112145426229706
Healthcare,-0.00905358799595367,8.447230291029503e-54
Real Estate,0.00219512793115631,3.1837830346268396e-12
Technology,-0.001102107731005609,7.848410057165542e-09
Utilities,-0.0067339603468507415,1.031019673020707e-23
