Fund,Year,L2_Norm,Sector
CSEIX,1999,0.08790285045948981,real estate
CSEIX,2000,0.09402858420384379,real estate
CSEIX,2001,0.07961577951022669,real estate
CSEIX,2002,0.11539886513235312,real estate
CSEIX,2003,0.0814664679327671,real estate
CSEIX,2004,0.14657982935558123,real estate
CSEIX,2005,0.10516653433064656,real estate
CSEIX,2006,0.09534397544822885,real estate
CSEIX,2007,0.13724319792098372,real estate
CSEIX,2008,0.4282829057615896,real estate
CSEIX,2009,0.3205570123085785,real estate
CSEIX,2010,0.12568790299985239,real estate
CSEIX,2011,0.12378538701904185,real estate
CSEIX,2012,0.08991854148597221,real estate
CSEIX,2013,0.10581607100156783,real estate
CSEIX,2014,0.10808876131178315,real estate
CSEIX,2015,0.12084941639093272,real estate
CSEIX,2016,0.13048425173368236,real estate
CSEIX,2017,0.08861230276269251,real estate
CSEIX,2018,0.13214897139664447,real estate
CSEIX,2019,0.10815601479809553,real estate
CSEIX,2020,0.20267473700568933,real estate
CSEIX,2021,0.10887494293245492,real estate
CSEIX,2022,0.14734348815895063,real estate
CSEIX,2023,0.14631041308606096,real estate
CSEIX,2024,0.13734563740071581,real estate
CSEIX,2025,0.1302342707535437,real estate
DFREX,1999,0.09358321993469314,real estate
DFREX,2000,0.09692701074000093,real estate
DFREX,2001,0.08391107085121925,real estate
DFREX,2002,0.12494093059678806,real estate
DFREX,2003,0.09082830316958543,real estate
DFREX,2004,0.15854991471505653,real estate
DFREX,2005,0.11959821079724917,real estate
DFREX,2006,0.11719803268823077,real estate
DFREX,2007,0.1655781580239325,real estate
DFREX,2008,0.4609282501849517,real estate
DFREX,2009,0.3425599060972401,real estate
DFREX,2010,0.13748499356012325,real estate
DFREX,2011,0.12975255089354087,real estate
DFREX,2012,0.09374129410228348,real estate
DFREX,2013,0.11248150504567322,real estate
DFREX,2014,0.09180019691449673,real estate
DFREX,2015,0.12863450110180216,real estate
DFREX,2016,0.14637581306154177,real estate
DFREX,2017,0.0943080016180271,real estate
DFREX,2018,0.13370331635487487,real estate
DFREX,2019,0.11071231642185404,real estate
DFREX,2020,0.24236244374596477,real estate
DFREX,2021,0.11315748001458789,real estate
DFREX,2022,0.14572707358603873,real estate
DFREX,2023,0.1438699611763365,real estate
DFREX,2024,0.14033988697201943,real estate
DFREX,2025,0.13186444052360607,real estate
DPREX,1999,0.09408917516459986,real estate
DPREX,2000,0.10033266166394604,real estate
DPREX,2001,0.0854852707040383,real estate
DPREX,2002,0.11504846682294388,real estate
DPREX,2003,0.08818002862715314,real estate
DPREX,2004,0.14991412094668577,real estate
DPREX,2005,0.11167139920596116,real estate
DPREX,2006,0.11658820185290346,real estate
DPREX,2007,0.15987352353762038,real estate
DPREX,2008,0.4421306658693145,real estate
DPREX,2009,0.34865870184650094,real estate
DPREX,2010,0.1352947792847722,real estate
DPREX,2011,0.1289170065798432,real estate
DPREX,2012,0.09552181568850067,real estate
DPREX,2013,0.10735632172598834,real estate
DPREX,2014,0.0887826816005213,real estate
DPREX,2015,0.12760708324288067,real estate
DPREX,2016,0.12867904118751422,real estate
DPREX,2017,0.09435583577152477,real estate
DPREX,2018,0.1327816100394681,real estate
DPREX,2019,0.0928773218337398,real estate
DPREX,2020,0.09727784331255679,real estate
DPREX,2021,0.05677374952308532,real estate
DPREX,2022,0.08615524333095181,real estate
DPREX,2023,0.06984225073509683,real estate
DPREX,2024,0.07386337505462323,real estate
DPREX,2025,0.06626553567319747,real estate
FREAX,1999,0.09437734048948676,real estate
FREAX,2000,0.09813711390815179,real estate
FREAX,2001,0.14028662667910077,real estate
FREAX,2002,0.11253156624248074,real estate
FREAX,2003,0.09724535688106772,real estate
FREAX,2004,0.15022296173327496,real estate
FREAX,2005,0.10771216910651044,real estate
FREAX,2006,0.11414131732382195,real estate
FREAX,2007,0.15599642123321536,real estate
FREAX,2008,0.4196546297341494,real estate
FREAX,2009,0.3257290023880397,real estate
FREAX,2010,0.12928424549464282,real estate
