Fund,Year,L2_Norm,Sector
FSPTX,2012,0.08253358566429266,technology
FSPTX,2013,0.0712585482487062,technology
FSPTX,2014,0.07959649649703812,technology
FSPTX,2015,0.0733954482209216,technology
FSPTX,2016,0.07993669285595278,technology
FSPTX,2017,0.08455716180065173,technology
FSPTX,2018,0.10178551511475094,technology
FSPTX,2019,0.07048010074337918,technology
FSPTX,2020,0.13588635738179303,technology
FSPTX,2021,0.1109686749381397,technology
FSPTX,2022,0.11446927298996758,technology
FSPTX,2023,0.10681616990256904,technology
FSPTX,2024,0.11040022726944292,technology
FSPTX,2025,0.119189651773286,technology
ICTEX,1999,0.2212233047165223,technology
ICTEX,2000,0.2385347295861388,technology
ICTEX,2001,0.25203692326317645,technology
ICTEX,2002,0.19017603462475738,technology
ICTEX,2003,0.1976984257051492,technology
ICTEX,2004,0.1400782987678273,technology
ICTEX,2005,0.07824755126016635,technology
ICTEX,2006,0.08632403821741366,technology
ICTEX,2007,0.0982388411360257,technology
ICTEX,2008,0.14813056787786294,technology
ICTEX,2009,0.10632688128048776,technology
ICTEX,2010,0.06572530084834066,technology
ICTEX,2011,0.07353291860897336,technology
ICTEX,2012,0.06745991256352389,technology
ICTEX,2013,0.07286046881953656,technology
ICTEX,2014,0.06407799372368297,technology
ICTEX,2015,0.07093314369265585,technology
ICTEX,2016,0.0782394070268806,technology
ICTEX,2017,0.08565252839803311,technology
ICTEX,2018,0.08887425720750954,technology
ICTEX,2019,0.06322357853141898,technology
ICTEX,2020,0.14269876715528304,technology
ICTEX,2021,0.07968285649565142,technology
ICTEX,2022,0.09924893380869912,technology
ICTEX,2023,0.06843148547309762,technology
ICTEX,2024,0.07338235808611036,technology
ICTEX,2025,0.09651008232870534,technology
KTCAX,1999,0.19879337781114728,technology
KTCAX,2000,0.35926582335463264,technology
KTCAX,2001,0.27710038352375554,technology
KTCAX,2002,0.2177030475967985,technology
KTCAX,2003,0.137103042627068,technology
KTCAX,2004,0.13016723299712807,technology
KTCAX,2005,0.08122886617836805,technology
KTCAX,2006,0.09306571168831508,technology
KTCAX,2007,0.09389451357708115,technology
KTCAX,2008,0.1546991332545617,technology
KTCAX,2009,0.10347445553325144,technology
KTCAX,2010,0.07602693527685418,technology
KTCAX,2011,0.09694244106809087,technology
KTCAX,2012,0.08219067701707354,technology
KTCAX,2013,0.06796111167126202,technology
KTCAX,2014,0.06957453321447127,technology
KTCAX,2015,0.06245503103417208,technology
KTCAX,2016,0.07340727270911118,technology
KTCAX,2017,0.07364202699864131,technology
KTCAX,2018,0.09606794236106879,technology
KTCAX,2019,0.0661218323896167,technology
KTCAX,2020,0.12938456715329869,technology
KTCAX,2021,0.10505811478022027,technology
KTCAX,2022,0.11287981209863836,technology
KTCAX,2023,0.09115509807144274,technology
KTCAX,2024,0.08283963300614894,technology
KTCAX,2025,0.09720615745520338,technology
MTCAX,1999,0.25535999937406006,technology
MTCAX,2000,0.36933208352893554,technology
MTCAX,2001,0.37726837189554985,technology
MTCAX,2002,0.2572662320134083,technology
MTCAX,2003,0.13212432829666715,technology
MTCAX,2004,0.12997475239468015,technology
MTCAX,2005,0.0910817322388709,technology
MTCAX,2006,0.10226076215694707,technology
MTCAX,2007,0.08272043149446102,technology
MTCAX,2008,0.1734120565813812,technology
MTCAX,2009,0.12037545036779317,technology
MTCAX,2010,0.07792652549275765,technology
MTCAX,2011,0.09781783415393448,technology
MTCAX,2012,0.07580436951768262,technology
MTCAX,2013,0.06773862623652988,technology
MTCAX,2014,0.06172992572293132,technology
MTCAX,2015,0.0586698802272183,technology
MTCAX,2016,0.08177326353302226,technology
MTCAX,2017,0.07488656196289548,technology
MTCAX,2018,0.10340638532206183,technology
MTCAX,2019,0.07165830895213444,technology
MTCAX,2020,0.13893485515373186,technology
MTCAX,2021,0.11296846991461741,technology
MTCAX,2022,0.10444120681008677,technology
MTCAX,2023,0.08899386321113134,technology
MTCAX,2024,0.08885447732932954,technology
MTCAX,2025,0.09129440308858498,technology
ROGSX,1999,0.23775181297236847,technology
ROGSX,2000,0.5159441874088958,technology
ROGSX,2001,0.5542721025888673,technology
ROGSX,2002,0.3816036430093238,technology
ROGSX,2003,0.17997068799414423,technology
ROGSX,2004,0.1411812091252392,technology
ROGSX,2005,0.10232535674875866,technology
ROGSX,2006,0.11203967955035966,technology
ROGSX,2007,0.09651740384776195,technology
ROGSX,2008,0.1888448251712486,technology
ROGSX,2009,0.14607565270686199,technology
ROGSX,2010,0.08276858022530974,technology
ROGSX,2011,0.08450709338159587,technology
ROGSX,2012,0.07037723159477517,technology
ROGSX,2013,0.05803961944596875,technology
ROGSX,2014,0.053149211866579824,technology
ROGSX,2015,0.055920566821859544,technology
ROGSX,2016,0.06457474016586634,technology
ROGSX,2017,0.06071225411983202,technology
ROGSX,2018,0.07253129397934124,technology
ROGSX,2019,0.059002748326923544,technology
ROGSX,2020,0.10993605811598525,technology
ROGSX,2021,0.0771562519615177,technology
ROGSX,2022,0.08221455614546166,technology
ROGSX,2023,0.07648948536044028,technology
ROGSX,2024,0.07782053054090035,technology
ROGSX,2025,0.09303024732233604,technology
RSIFX,1999,0.2542393476547758,technology
RSIFX,2000,0.3342433911470519,technology
RSIFX,2001,0.24934604794977455,technology
RSIFX,2002,0.3132580118729649,technology
RSIFX,2003,0.19526289676714587,technology
RSIFX,2004,0.19907570201068603,technology
RSIFX,2005,0.11996316811961599,technology
RSIFX,2006,0.11588523228359902,technology
RSIFX,2007,0.11839630800371385,technology
RSIFX,2008,0.19115852848920076,technology
RSIFX,2009,0.12066600423050616,technology
RSIFX,2010,0.10333903236389583,technology
RSIFX,2011,0.1291908514236162,technology
RSIFX,2012,0.10246075694097029,technology
RSIFX,2013,0.10065336528609904,technology
RSIFX,2014,0.12144206558399216,technology
RSIFX,2015,0.09456815464457914,technology
RSIFX,2016,0.13191951012215136,technology
RSIFX,2017,0.12013404078340506,technology
RSIFX,2018,0.1524122871751603,technology
RSIFX,2019,0.11592140490278503,technology
RSIFX,2020,0.1827849868360668,technology
RSIFX,2021,0.2017855998898855,technology
RSIFX,2022,0.18873055417689608,technology
RSIFX,2023,0.11369652677174374,technology
RSIFX,2024,0.10567986667295337,technology
RSIFX,2025,0.12373005587924003,technology
SHGTX,1999,0.15694207135663968,technology
SHGTX,2000,0.3093162241122815,technology
SHGTX,2001,0.21954663140270497,technology
SHGTX,2002,0.16361117490706661,technology
SHGTX,2003,0.11932448337217817,technology
SHGTX,2004,0.10310663344604039,technology
SHGTX,2005,0.07923973456276241,technology
SHGTX,2006,0.0843911089753317,technology
SHGTX,2007,0.0815289986114713,technology
SHGTX,2008,0.14865385814017887,technology
SHGTX,2009,0.0957933064496161,technology
SHGTX,2010,0.0646056603814028,technology
SHGTX,2011,0.08081193305748233,technology
SHGTX,2012,0.07763711290905313,technology
SHGTX,2013,0.06468590108860742,technology
SHGTX,2014,0.07866377077077064,technology
SHGTX,2015,0.09963195666303305,technology
SHGTX,2016,0.10431117430792798,technology
SHGTX,2017,0.10149473220017619,technology
SHGTX,2018,0.10725302991644947,technology
SHGTX,2019,0.09859001898515071,technology
SHGTX,2020,0.13207977473492663,technology
SHGTX,2021,0.11922682573526618,technology
SHGTX,2022,0.11511344338845907,technology
SHGTX,2023,0.0969524684516754,technology
SHGTX,2024,0.08394194685110833,technology
SHGTX,2025,0.1295630984443385,technology
SLMCX,1999,0.16453604505689393,technology
SLMCX,2000,0.3352799512645775,technology
SLMCX,2001,0.26073130383582854,technology
SLMCX,2002,0.18419738537050998,technology
SLMCX,2003,0.11095249254178806,technology
SLMCX,2004,0.10787094072192051,technology
SLMCX,2005,0.08257160383839017,technology
SLMCX,2006,0.08877054178955875,technology
SLMCX,2007,0.6308270177855894,technology
SLMCX,2008,0.15527954014595838,technology
SLMCX,2009,0.09958236666649017,technology
SLMCX,2010,0.07201318961076465,technology
SLMCX,2011,0.08611784403295038,technology
SLMCX,2012,0.08165326197651597,technology
SLMCX,2013,0.07257584931127192,technology
SLMCX,2014,0.08316513812564166,technology
SLMCX,2015,0.09893380677851882,technology
SLMCX,2016,0.10422769705622137,technology
SLMCX,2017,0.10247701653664293,technology
SLMCX,2018,0.10623169561530134,technology
SLMCX,2019,0.09648351340751145,technology
SLMCX,2020,0.1291960569132798,technology
SLMCX,2021,0.11722288565800926,technology
SLMCX,2022,0.11383434512137583,technology
SLMCX,2023,0.09598110984360769,technology
SLMCX,2024,0.08065346485926422,technology
SLMCX,2025,0.13119192474718847,technology
