Fund,Year,L2_Distance,Sector
FDCPX,1999,0.016149762940725284,tech
FDCPX,2000,0.05714913603310982,tech
FDCPX,2001,0.024949744297316206,tech
FDCPX,2002,0.014922461823762155,tech
FDCPX,2003,0.010191000785083894,tech
FDCPX,2004,0.011147171287305802,tech
FDCPX,2005,0.006934508688976322,tech
FDCPX,2006,0.006735076036506233,tech
FDCPX,2007,0.008147753196424839,tech
FDCPX,2008,0.014939093748054142,tech
FDCPX,2009,0.00928989470571091,tech
FDCPX,2010,0.006318448659960322,tech
FDCPX,2011,0.006704677101630368,tech
FDCPX,2012,0.00603596310965017,tech
FDCPX,2013,0.008212245190442235,tech
FDCPX,2014,0.006166205454369898,tech
FDCPX,2015,0.00621998351284232,tech
FDCPX,2016,0.00648675253400086,tech
FDCPX,2017,0.007832983633464534,tech
FDCPX,2018,0.016955227077340974,tech
FDCPX,2019,0.008522112695375185,tech
FDCPX,2020,0.00917206663687643,tech
FDCPX,2021,0.01039143826409833,tech
FDCPX,2022,0.01120350421504831,tech
FDCPX,2023,0.005663782719639456,tech
FDCPX,2024,0.0068014102649604,tech
FDCPX,2025,0.009677835076496662,tech
FSCSX,1999,0.01610964322510906,tech
FSCSX,2000,0.06857247350539278,tech
FSCSX,2001,0.021261970114473384,tech
FSCSX,2002,0.012046457872224895,tech
FSCSX,2003,0.008154027519727585,tech
FSCSX,2004,0.007481925807026858,tech
FSCSX,2005,0.006560184642422617,tech
FSCSX,2006,0.005648548200696222,tech
FSCSX,2007,0.006328705808066622,tech
FSCSX,2008,0.011449226534945288,tech
FSCSX,2009,0.008636772836987683,tech
FSCSX,2010,0.00557741333139208,tech
FSCSX,2011,0.008942669082745158,tech
FSCSX,2012,0.006515107132532959,tech
FSCSX,2013,0.005962569745254081,tech
FSCSX,2014,0.013410446620200004,tech
FSCSX,2015,0.00515377375113797,tech
FSCSX,2016,0.005912063847748987,tech
FSCSX,2017,0.006130546595007679,tech
FSCSX,2018,0.006657616619411481,tech
FSCSX,2019,0.008910378024165418,tech
FSCSX,2020,0.008983710148627855,tech
FSCSX,2021,0.007179059437514682,tech
FSCSX,2022,0.00799070590084791,tech
FSCSX,2023,0.008230940258192486,tech
FSCSX,2024,0.00899857683626349,tech
FSCSX,2025,0.0117984888479939,tech
FSELX,1999,0.018471928852953005,tech
FSELX,2000,0.031160263567619608,tech
FSELX,2001,0.0268927763310749,tech
FSELX,2002,0.020792766941532474,tech
FSELX,2003,0.012483764484887175,tech
FSELX,2004,0.013647884041332927,tech
FSELX,2005,0.00832837826356799,tech
FSELX,2006,0.009063487993412623,tech
FSELX,2007,0.008762517359550427,tech
FSELX,2008,0.01798394527141558,tech
FSELX,2009,0.012968312737697303,tech
FSELX,2010,0.008894020462205873,tech
FSELX,2011,0.011154020349978585,tech
FSELX,2012,0.009041443284697555,tech
FSELX,2013,0.006966275903758452,tech
FSELX,2014,0.007304008481534534,tech
FSELX,2015,0.010827773890629567,tech
FSELX,2016,0.008322377583868746,tech
FSELX,2017,0.009573460832816997,tech
FSELX,2018,0.016503886701175023,tech
FSELX,2019,0.01058351522613576,tech
FSELX,2020,0.014172467749059697,tech
FSELX,2021,0.014240373141273117,tech
FSELX,2022,0.015183883331729804,tech
FSELX,2023,0.015504288985626715,tech
FSELX,2024,0.01588233873331803,tech
FSELX,2025,0.016229001504809267,tech
FSPTX,1999,0.017536750953819312,tech
FSPTX,2000,0.029954847341460925,tech
