Fund,Year,L2_Norm,Sector
FUGAX,2010,0.0791206194281331,utilities
FUGAX,2011,0.08656372608327434,utilities
FUGAX,2012,0.07322764154886861,utilities
FUGAX,2013,0.07898861724560648,utilities
FUGAX,2014,0.10265390717051424,utilities
FUGAX,2015,0.12691740922097738,utilities
FUGAX,2016,0.1349200509417663,utilities
FUGAX,2017,0.08926769896811669,utilities
FUGAX,2018,0.12580564338179426,utilities
FUGAX,2019,0.09875881212853059,utilities
FUGAX,2020,0.20706438981029257,utilities
FUGAX,2021,0.12412473958936386,utilities
FUGAX,2022,0.15402544475357896,utilities
FUGAX,2023,0.145483818610405,utilities
FUGAX,2024,0.152630012975293,utilities
FUGAX,2025,0.12481768032453483,utilities
GASFX,1999,0.10313492296189031,utilities
GASFX,2000,0.16052255176405916,utilities
GASFX,2001,0.1733142098901141,utilities
GASFX,2002,0.1811733194361035,utilities
GASFX,2003,0.09807130067391591,utilities
GASFX,2004,0.08093955095068983,utilities
GASFX,2005,0.08137108597391349,utilities
GASFX,2006,0.07091994074681146,utilities
GASFX,2007,0.0839464348819978,utilities
GASFX,2008,0.15359868617848033,utilities
GASFX,2009,0.10519401051512982,utilities
GASFX,2010,0.06793532777975979,utilities
GASFX,2011,0.07585938845562085,utilities
GASFX,2012,0.060052149147587414,utilities
GASFX,2013,0.0665734178777792,utilities
GASFX,2014,0.08936708369407002,utilities
GASFX,2015,0.11261658449987999,utilities
GASFX,2016,0.11868814425481722,utilities
GASFX,2017,0.08103016398808442,utilities
GASFX,2018,0.1153474697602687,utilities
GASFX,2019,0.08396713911013315,utilities
GASFX,2020,0.17645707194955043,utilities
GASFX,2021,0.10866732657813712,utilities
GASFX,2022,0.14442808023083986,utilities
GASFX,2023,0.11969513744269944,utilities
GASFX,2024,0.11815872615552638,utilities
GASFX,2025,0.1269588072121155,utilities
ICTUX,1999,0.11922548586883691,utilities
ICTUX,2000,0.1370016319257102,utilities
ICTUX,2001,0.1311206844385618,utilities
ICTUX,2002,0.13657197335466756,utilities
ICTUX,2003,0.10405874528284614,utilities
ICTUX,2004,0.10031067926221927,utilities
ICTUX,2005,0.07290793580189595,utilities
ICTUX,2006,0.07534366096299862,utilities
ICTUX,2007,0.0782269942047697,utilities
ICTUX,2008,0.1352010937384571,utilities
ICTUX,2009,0.09267388509310547,utilities
ICTUX,2010,0.0735322551791013,utilities
ICTUX,2011,0.08085254129741831,utilities
ICTUX,2012,0.07895741141619961,utilities
ICTUX,2013,0.0889146462354146,utilities
ICTUX,2014,0.11011026877572817,utilities
ICTUX,2015,0.12216109740498371,utilities
ICTUX,2016,0.12424892974397553,utilities
ICTUX,2017,0.0838441780369672,utilities
ICTUX,2018,0.12310783221927392,utilities
ICTUX,2019,0.08546068154545554,utilities
ICTUX,2020,0.2158010861728203,utilities
ICTUX,2021,0.11383777784736733,utilities
ICTUX,2022,0.1308587823134765,utilities
ICTUX,2023,0.1344519402509623,utilities
ICTUX,2024,0.13000058241814225,utilities
ICTUX,2025,0.13387634046989888,utilities
MMUFX,1999,0.07164304694301828,utilities
MMUFX,2000,0.13746027122665988,utilities
MMUFX,2001,0.12250568715724187,utilities
MMUFX,2002,0.12733332390160254,utilities
MMUFX,2003,0.06604106024029655,utilities
MMUFX,2004,0.059802308894451,utilities
MMUFX,2005,0.06948754668880663,utilities
MMUFX,2006,0.06665370970860249,utilities
MMUFX,2007,0.06968879194120023,utilities
MMUFX,2008,0.15342157522991223,utilities
MMUFX,2009,0.10495684665980505,utilities
MMUFX,2010,0.06130359562699044,utilities
MMUFX,2011,0.05986570133657829,utilities
MMUFX,2012,0.05320139827248023,utilities
MMUFX,2013,0.050652805476914364,utilities
MMUFX,2014,0.0640841863318494,utilities
MMUFX,2015,0.0929604634369651,utilities
MMUFX,2016,0.10136615583242248,utilities
MMUFX,2017,0.06025231086577424,utilities
MMUFX,2018,0.07686709096356024,utilities
MMUFX,2019,0.06267562267804487,utilities
MMUFX,2020,0.14309327934353078,utilities
MMUFX,2021,0.09756927597985317,utilities
MMUFX,2022,0.13504677463912612,utilities
MMUFX,2023,0.13022438809339684,utilities
MMUFX,2024,0.1389969742079378,utilities
MMUFX,2025,0.13162658737692082,utilities
PRUAX,1999,0.08917135445780813,utilities
PRUAX,2000,0.1378041123281117,utilities
PRUAX,2001,0.15940598215029714,utilities
PRUAX,2002,0.15394948318029522,utilities
PRUAX,2003,0.0847289661166137,utilities
