,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,22.0,24.0,26.0,22.0,21.0,20.0,25.0,21.0
FACDX,22.0,0.0,24.0,23.0,16.0,14.0,18.0,20.0,21.0
FBDIX,24.0,24.0,0.0,19.0,25.0,25.0,26.0,25.0,27.0
FSHCX,26.0,23.0,19.0,0.0,25.0,26.0,27.0,24.0,25.0
FSMEX,22.0,16.0,25.0,25.0,0.0,15.0,22.0,24.0,21.0
FSPHX,21.0,14.0,25.0,26.0,15.0,0.0,18.0,23.0,23.0
PHSTX,20.0,18.0,26.0,27.0,22.0,18.0,0.0,23.0,25.0
PRHSX,25.0,20.0,25.0,24.0,24.0,23.0,23.0,0.0,25.0
VGHCX,21.0,21.0,27.0,25.0,21.0,23.0,25.0,25.0,0.0
