,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,14.0,19.0,24.0,17.0,19.0
FSENX,14.0,0.0,20.0,24.0,15.0,24.0
ICPAX,19.0,20.0,0.0,26.0,19.0,25.0
PRNEX,24.0,24.0,26.0,0.0,23.0,20.0
RYEIX,17.0,15.0,19.0,23.0,0.0,20.0
VGENX,19.0,24.0,25.0,20.0,20.0,0.0
