,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,11.0,14.0,7.0,10.0,10.0,12.0,12.0,12.0,6.0,11.0
DFREX,11.0,0.0,12.0,11.0,3.0,14.0,4.0,18.0,12.0,12.0,7.0
DPREX,14.0,12.0,0.0,12.0,10.0,13.0,13.0,16.0,14.0,18.0,11.0
FREAX,7.0,11.0,12.0,0.0,10.0,7.0,13.0,15.0,13.0,10.0,10.0
FRESX,10.0,3.0,10.0,10.0,0.0,13.0,7.0,15.0,13.0,13.0,6.0
IARAX,10.0,14.0,13.0,7.0,13.0,0.0,16.0,11.0,9.0,9.0,11.0
PHRAX,12.0,4.0,13.0,13.0,7.0,16.0,0.0,18.0,12.0,13.0,7.0
RPFRX,12.0,18.0,16.0,15.0,15.0,11.0,18.0,0.0,13.0,13.0,12.0
SOAAX,12.0,12.0,14.0,13.0,13.0,9.0,12.0,13.0,0.0,7.0,11.0
STMDX,6.0,12.0,18.0,10.0,13.0,9.0,13.0,13.0,7.0,0.0,12.0
TRREX,11.0,7.0,11.0,10.0,6.0,11.0,7.0,12.0,11.0,12.0,0.0
