Date,Daily_Return,Year
1999-01-04,0.0,1999
1999-01-05,-0.0005462574986702107,1999
1999-01-06,0.007107726493607025,1999
1999-01-07,-0.004885971269475653,1999
1999-01-08,-0.0043644198444962035,1999
1999-01-11,-0.01643834048876247,1999
1999-01-12,-0.011142171670921241,1999
1999-01-13,0.005633951180879615,1999
1999-01-14,-0.008403535702253162,1999
1999-01-15,0.015819220496701147,1999
1999-01-19,-0.007786253432449541,1999
1999-01-20,0.006165870325582912,1999
1999-01-21,-0.016712893929677897,1999
1999-01-22,-0.0011335806942046611,1999
1999-01-25,0.0034035834890386862,1999
1999-01-26,0.018654551075550474,1999
1999-01-27,0.01664797144044261,1999
1999-01-28,0.012554658509387862,1999
1999-01-29,0.013477224080596928,1999
1999-02-01,0.003723579947967348,1999
1999-02-02,0.0015897886922076054,1999
1999-02-03,0.005820059003416311,1999
1999-02-04,-0.00946874199405312,1999
1999-02-05,-0.012214706134646702,1999
1999-02-08,-0.004838600171681251,1999
1999-02-09,-0.02106974177342924,1999
1999-02-10,0.002207635512335715,1999
1999-02-11,0.01982360569382302,1999
1999-02-12,-0.0032397555669395617,1999
1999-02-16,0.008667457989339322,1999
1999-02-17,-0.017722914531025147,1999
1999-02-18,0.004920699416914642,1999
1999-02-19,-0.0027202866274012028,1999
1999-02-22,0.02291291490160141,1999
1999-02-23,0.006933526346547314,1999
1999-02-24,-0.01112280331526272,1999
1999-02-25,-0.008034272525054842,1999
1999-02-26,0.005399621977127511,1999
1999-03-01,-0.001074177103142615,1999
1999-03-02,-0.0021503135296422338,1999
1999-03-03,-0.003232860547110805,1999
1999-03-04,0.017297344682574378,1999
1999-03-05,0.018597246425045233,1999
1999-03-08,0.0026082676620853285,1999
1999-03-09,-0.0015610931115217497,1999
1999-03-10,-0.0036476506988674107,1999
1999-03-11,0.010983099628514958,1999
1999-03-12,0.0056906768817106546,1999
1999-03-15,0.008744910321362598,1999
1999-03-16,-0.0025497450296569912,1999
1999-03-17,-0.014314771664235892,1999
1999-03-18,0.007779905882898452,1999
1999-03-19,-0.012352005841673619,1999
1999-03-22,-0.006253285525527175,1999
1999-03-23,-0.021499594422338175,1999
1999-03-24,0.003751079612491992,1999
1999-03-25,0.010678252158669022,1999
1999-03-26,-0.006339259088158911,1999
1999-03-29,0.015949297544112895,1999
1999-03-30,0.002616371321360056,1999
1999-03-31,-0.010960424516444633,1999
1999-04-01,0.005277097104114281,1999
1999-04-05,0.0020998609884832486,1999
1999-04-06,-0.004190750691699496,1999
1999-04-07,0.0,1999
1999-04-08,0.015780979179066623,1999
1999-04-09,0.010875201419609626,1999
1999-04-12,0.008196786397013822,1999
1999-04-13,-0.002540841405832772,1999
1999-04-14,-0.024961729620035622,1999
1999-04-15,-0.024555860621245706,1999
1999-04-16,-0.006962972103193743,1999
1999-04-19,-0.04638619486520967,1999
1999-04-20,0.03337083684698072,1999
1999-04-21,0.034483143543876604,1999
1999-04-22,0.01798917911011455,1999
1999-04-23,-0.008835813179994711,1999
1999-04-26,0.0010490862332286355,1999
1999-04-27,0.005761961702757112,1999
1999-04-28,-0.030729234249610382,1999
1999-04-29,-0.01235893026738577,1999
1999-04-30,-0.006528687905762776,1999
1999-05-03,0.016976701442992903,1999
1999-05-04,-0.002692366389209333,1999
1999-05-05,0.004319644723691285,1999
1999-05-06,-0.001075244482595883,1999
1999-05-07,0.0010764018777760231,1999
1999-05-10,-0.00806459677279292,1999
1999-05-11,0.014634170066836205,1999
1999-05-12,0.012286483221217948,1999
1999-05-13,0.004221453829403865,1999
1999-05-14,-0.025223277247883424,1999
1999-05-17,0.0026954448161193856,1999
1999-05-18,-0.00860204357854133,1999
1999-05-19,0.009218967782453014,1999
1999-05-20,0.008060438737202524,1999
1999-05-21,-0.014392255806896848,1999
1999-05-24,-0.025960088701969974,1999
1999-05-25,-0.012770844368492629,1999
1999-05-26,-0.002249851320597074,1999
1999-05-27,-0.003382018967743372,1999
1999-05-28,0.02318988793056831,1999
1999-06-01,-0.003316223846597799,1999
1999-06-02,-0.002773634805384062,1999
1999-06-03,0.011679833861318656,1999
1999-06-04,0.031335992189367445,1999
1999-06-07,-0.006396442176895056,1999
1999-06-08,-0.006438145218276237,1999
1999-06-09,-0.0010798010600674424,1999
1999-06-10,-0.022162363430411447,1999
1999-06-11,-0.0027639858577289678,1999
1999-06-14,-0.007760357385593553,1999
1999-06-15,0.0027933238411730343,1999
1999-06-16,0.011142171670921241,1999
1999-06-17,0.008815315609693286,1999
1999-06-18,-0.007099873164995829,1999
1999-06-21,-0.0005503116997057633,1999
1999-06-22,0.002751636848587369,1999
1999-06-23,-0.009879121949751823,1999
1999-06-24,0.0033262292138935834,1999
1999-06-25,-0.0027623679401983514,1999
1999-06-28,0.006094133849307015,1999
1999-06-29,0.023127584897665976,1999
1999-06-30,0.020990187865408405,1999
1999-07-01,0.01107029128384629,1999
1999-07-02,0.003649552144497914,1999
1999-07-06,-0.005714325912786866,1999
1999-07-07,0.0005224542375181773,1999
1999-07-08,-0.0036553551498215153,1999
1999-07-09,0.002096559753919758,1999
1999-07-12,-0.000522830016501552,1999
1999-07-13,0.005232657265943574,1999
1999-07-14,0.004685208418902631,1999
1999-07-15,0.01709813986359232,1999
1999-07-16,0.003566388823735833,1999
1999-07-19,-0.015228491138322586,1999
1999-07-20,-0.01701059296589924,1999
1999-07-21,-0.001048572897932587,1999
1999-07-22,-0.007873922009837053,1999
1999-07-23,-0.002116353701093976,1999
1999-07-26,-0.0026514852339954986,1999
1999-07-27,0.0031901544196419884,1999
1999-07-28,0.0,1999
1999-07-29,-0.017488280852812177,1999
1999-07-30,-0.0010788121608417134,1999
1999-08-02,0.005939742748872101,1999
1999-08-03,-0.0069780957155123335,1999
1999-08-04,-0.02162157061332537,1999
1999-08-05,0.003867134834473873,1999
1999-08-06,-0.012107687019536573,1999
1999-08-09,0.002228088936315542,1999
1999-08-10,-0.012228651486380082,1999
1999-08-11,0.0028135751235300877,1999
1999-08-12,0.019079895166920435,1999
1999-08-13,0.01872239908331319,1999
1999-08-16,0.0027025530148052646,1999
1999-08-17,0.004852170076710127,1999
1999-08-18,-0.005901764411010868,1999
1999-08-19,-0.0026981781662231974,1999
1999-08-20,0.02326831174869115,1999
1999-08-23,0.025383425188225894,1999
1999-08-24,-0.0015468176769546371,1999
1999-08-25,0.0196278161408332,1999
1999-08-26,-0.015197718870963772,1999
1999-08-27,-0.013888659253909696,1999
1999-08-30,-0.0010435283496974535,1999
1999-08-31,-0.006266347456399646,1999
1999-09-01,0.01576456971385709,1999
1999-09-02,-0.010346209501584491,1999
1999-09-03,0.024572440909826687,1999
1999-09-07,-0.008863447158237059,1999
1999-09-08,-0.006838681577175043,1999
1999-09-09,-0.0015888875123623025,1999
1999-09-10,0.0,1999
1999-09-13,-0.0031832556837922965,1999
