Year,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
1999,0.1188401258973919,0.3244004431014986,0.2641119922595363,-0.148747008269684,0.2503751118759028,0.4297993141129919,-0.03375658672039539,0.06385902209586725,0.29903897203394125,0.03619017024457616
2000,0.055514090178996334,0.09301105557251765,-0.1985448990466009,0.44997994997717616,-0.12708351214587066,-0.2517002772871554,0.5887762291037122,0.15055028264313486,0.08050845070773849,0.42354773810430335
2001,-0.19368854031224092,-0.3081682780062637,-0.13435344723625975,-0.06160403254445235,-0.20522490390618642,-0.1401803916005031,-0.11656272090074127,-0.15213885184983733,-0.23144926242835373,-0.16734030155785629
2002,-0.28113765872012586,-0.20135078145406082,-0.2846332921663002,-0.11213113283307508,-0.316094801084119,-0.31165531487710174,-0.24699842408406247,-0.19072655598480337,-0.25357425409030554,-0.2673302264917067
2003,0.20669709849002516,0.24758296659425638,0.17384925536713536,0.17766170055564334,0.23068409900368958,0.2432073081611792,0.22013811570580333,0.22342335126331747,0.32275739175186513,0.28485053736066224
2004,0.23869772655651844,0.29297460682921783,0.21108380751737554,0.23961346722950672,0.24570593099055538,0.23069877693123853,0.23000114839022,0.1547567929261915,0.29168727960366225,0.30762546423011683
2005,0.15639959280012672,0.21845271489833284,0.1088640591718757,0.11987553603898982,0.10144080769122121,0.11117337974667851,0.15365834954561053,0.1202484638872714,0.1778170122098608,0.3246364899051586
2006,0.22434397600473654,0.2614527270159588,0.2867788134628759,0.2164561633247517,0.28563620562862213,0.30335732242776503,0.17704096069381547,0.21434037421368468,0.2880349471973829,0.2348208460860104
2007,0.18168898240313025,0.19945262456280766,0.12060215086312431,0.16739032125391184,0.1853752381657119,0.20999516614974012,0.14718681184378668,0.22941038696786653,0.28448270742103476,0.22234067539202784
2008,-0.3173168572958738,-0.31546274726207246,-0.34836588223827836,-0.26118917367687156,-0.36523853602099,-0.3613000735446351,-0.2891216355708415,-0.3077278930680739,-0.3829870084624801,-0.47714626517040826
2009,0.13650071685830123,0.18099709443610257,0.09639622787766133,0.13111706100124843,0.13586684150831663,0.136957933382734,0.2235636703743471,0.0735962618580921,0.29861776293402986,0.240452547440837
2010,0.10135641892741187,0.021407667755698245,0.15435794136399705,0.06775730305304961,0.10458985835972201,0.10479843040929326,0.11318077159120499,0.07825686363114515,0.11661221220170459,0.12918730290976166
2011,0.10176307337123491,0.156412426648473,0.10829075915542297,0.18907474167091998,0.12356707770602715,0.11490260441690414,0.24325547252489121,0.11775630285578287,0.05941878246705312,0.07523706603734737
2012,0.034174422165142326,0.08109814181775787,0.09913711638386302,0.05588259394589512,0.07138776755438458,0.0688176352974561,0.06269843200300529,0.01695720897022701,0.1159303299976131,0.11540940037649805
2013,0.15590153100802406,0.15850155214883266,0.1779042089769236,0.11337293418008554,0.1800554890395214,0.17559578685658273,0.22312402438320666,0.11786866915264205,0.1771798090816552,0.2304117569822881
2014,0.23666558612847055,0.1918010378902233,0.16022223541957192,0.2887925567732508,0.25262437180711905,0.24979461529830882,0.2433681086388373,0.27493265110275034,0.15339483430455125,0.2476019786650725
2015,-0.057766954402029835,-0.07664223829355832,-0.05728310620074961,-0.06791945768047081,-0.11275273757348125,-0.11294306278043198,-0.1623200838772617,-0.06171316020165074,-0.15630739343508093,-0.1288470905066592
2016,0.2421870165859641,0.13743213915356667,0.17640575013933701,0.1822237388248511,0.1458991400103875,0.1320411370559198,0.20778178137078696,0.24598393105332894,0.12204591127538778,0.16272475749832016
2017,0.0005015581361158539,0.13485478248775795,0.1099309426886319,0.10868156019031483,0.1816022810851683,0.1760746329576397,0.06887453888334005,0.08165310642390056,0.14694947248098833,0.13518725758057037
2018,0.004057650308600502,0.03209764830045447,0.02268487883178061,0.030993870172789206,0.08310431329499157,0.08111089468161814,-0.03862949664400894,0.03683249091969576,-0.00430764375834114,0.008055478409363825
2019,0.20438861587786072,0.2813792970898288,0.21718742692063886,0.280885963137824,0.23836259578026064,0.2316609019910567,0.20890601632901817,0.23058295608442525,0.24962335030676264,0.2828455045733169
2020,-0.026682302964193827,0.0398948781041355,0.015788535259876113,-0.017953306343408304,0.003278321925627159,-0.009490248951008473,-0.09413079168929639,0.015808699443107477,0.0585050590753442,0.04233529817993231
2021,0.15484433302346856,0.16275446151736994,0.08851546521587994,0.20314552438209743,0.200288404589134,0.19705340155345574,0.21239586907760488,0.23615884801440656,0.14535586173480808,0.15539404209947616
2022,-0.041486009761361076,-0.02864442200081918,0.0515408414417986,0.024583558570651753,0.06022077849212004,0.05679854944172802,0.060907330066380716,-0.006895747479828684,0.008016753378494945,0.0038267769691453513
2023,-0.07392351615974901,-0.05321806185789224,0.03588174794550336,-0.047370854042952826,-0.0070945131635407055,-0.01308940320624663,0.010459581071227575,-0.12050698904920731,-0.01927179077063146,-0.025500334690999216
2024,0.23014844502609488,0.16186853381939303,0.2866944212195086,0.2624795213994213,0.2752690833887832,0.27112116568036626,0.23443583882691632,0.13225441213684075,0.10635800865413603,0.27077521359612033
2025,0.1659464897816625,0.15528710137656576,0.11136199312880657,0.15393458761196355,0.1385050130663159,0.2024769542543423,0.10506555442108767,0.161563811503036,0.14578696795508317,0.11382630874262123
