Year,UTILITIES_Median_Return
1999,0.18460761888664734
2000,0.08675975314012807
2001,-0.1597395767038468
2002,-0.2604522402910061
2003,0.22705372513350353
2004,0.23915559689301258
2005,0.13695340671644096
2006,0.2481367865509846
2007,0.19241393136425977
2008,-0.33284136976707607
2009,0.1367293251205176
2010,0.10469414438450764
2011,0.1163294536363435
2012,0.07010270142592034
2013,0.17638779796911896
2014,0.2454850436519549
2015,-0.09469748793351979
2016,0.1695652538188286
2017,0.12239286258819493
2018,0.026839374502284907
2019,0.23501174888565868
2020,0.009533428592751636
2021,0.17990393153541284
2022,0.01630015597457335
2023,-0.022386062730815337
2024,0.24845768011316882
2025,0.14986077778352336
