,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,19.0,26.0,26.0,21.0,19.0,14.0,21.0,20.0
FACDX,19.0,0.0,26.0,23.0,19.0,3.0,17.0,17.0,24.0
FBDIX,26.0,26.0,0.0,16.0,26.0,26.0,26.0,25.0,27.0
FSHCX,26.0,23.0,16.0,0.0,22.0,24.0,26.0,23.0,27.0
FSMEX,21.0,19.0,26.0,22.0,0.0,20.0,26.0,21.0,25.0
FSPHX,19.0,3.0,26.0,24.0,20.0,0.0,18.0,19.0,23.0
PHSTX,14.0,17.0,26.0,26.0,26.0,18.0,0.0,23.0,13.0
PRHSX,21.0,17.0,25.0,23.0,21.0,19.0,23.0,0.0,25.0
VGHCX,20.0,24.0,27.0,27.0,25.0,23.0,13.0,25.0,0.0
