,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,30.0,110.0,74.0,45.0,35.0,22.0,30.0,39.0
FACDX,30.0,0.0,104.0,66.0,27.0,5.0,24.0,28.0,43.0
FBDIX,110.0,104.0,0.0,48.0,93.0,101.0,128.0,82.0,145.0
FSHCX,74.0,66.0,48.0,0.0,59.0,69.0,88.0,52.0,103.0
FSMEX,45.0,27.0,93.0,59.0,0.0,26.0,47.0,39.0,56.0
FSPHX,35.0,5.0,101.0,69.0,26.0,0.0,29.0,33.0,46.0
PHSTX,22.0,24.0,128.0,88.0,47.0,29.0,0.0,46.0,19.0
PRHSX,30.0,28.0,82.0,52.0,39.0,33.0,46.0,0.0,65.0
VGHCX,39.0,43.0,145.0,103.0,56.0,46.0,19.0,65.0,0.0
