,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,14.0,15.0,18.0,19.0,23.0,15.0,18.0,26.0,18.0
EVUAX,14.0,0.0,13.0,28.0,31.0,33.0,19.0,26.0,20.0,16.0
FIUIX,15.0,13.0,0.0,25.0,28.0,30.0,16.0,27.0,21.0,19.0
FKUTX,18.0,28.0,25.0,0.0,7.0,9.0,15.0,18.0,38.0,24.0
FSUTX,19.0,31.0,28.0,7.0,0.0,4.0,20.0,23.0,43.0,29.0
FUGAX,23.0,33.0,30.0,9.0,4.0,0.0,20.0,23.0,45.0,31.0
GASFX,15.0,19.0,16.0,15.0,20.0,20.0,0.0,19.0,31.0,19.0
ICTUX,18.0,26.0,27.0,18.0,23.0,23.0,19.0,0.0,34.0,24.0
MMUFX,26.0,20.0,21.0,38.0,43.0,45.0,31.0,34.0,0.0,22.0
PRUAX,18.0,16.0,19.0,24.0,29.0,31.0,19.0,24.0,22.0,0.0
