,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,13.0,13.0,17.0,15.0,19.0,12.0,16.0,19.0,15.0
EVUAX,13.0,0.0,11.0,22.0,22.0,23.0,16.0,20.0,16.0,11.0
FIUIX,13.0,11.0,0.0,16.0,19.0,21.0,13.0,21.0,16.0,13.0
FKUTX,17.0,22.0,16.0,0.0,7.0,9.0,14.0,15.0,22.0,19.0
FSUTX,15.0,22.0,19.0,7.0,0.0,4.0,16.0,17.0,25.0,22.0
FUGAX,19.0,23.0,21.0,9.0,4.0,0.0,16.0,16.0,25.0,22.0
GASFX,12.0,16.0,13.0,14.0,16.0,16.0,0.0,18.0,21.0,16.0
ICTUX,16.0,20.0,21.0,15.0,17.0,16.0,18.0,0.0,19.0,19.0
MMUFX,19.0,16.0,16.0,22.0,25.0,25.0,21.0,19.0,0.0,12.0
PRUAX,15.0,11.0,13.0,19.0,22.0,22.0,16.0,19.0,12.0,0.0
