,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,28.0,105.0,70.0,43.0,33.0,21.0,31.0,35.0
FACDX,28.0,0.0,97.0,62.0,25.0,5.0,25.0,23.0,41.0
FBDIX,105.0,97.0,0.0,49.0,86.0,92.0,120.0,78.0,136.0
FSHCX,70.0,62.0,49.0,0.0,53.0,63.0,81.0,53.0,95.0
FSMEX,43.0,25.0,86.0,53.0,0.0,22.0,44.0,34.0,54.0
FSPHX,33.0,5.0,92.0,63.0,22.0,0.0,30.0,26.0,46.0
PHSTX,21.0,25.0,120.0,81.0,44.0,30.0,0.0,44.0,20.0
PRHSX,31.0,23.0,78.0,53.0,34.0,26.0,44.0,0.0,60.0
VGHCX,35.0,41.0,136.0,95.0,54.0,46.0,20.0,60.0,0.0
