,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,20.0,26.0,22.0,21.0,20.0,14.0,22.0,19.0
FACDX,20.0,0.0,26.0,24.0,19.0,3.0,19.0,17.0,25.0
FBDIX,26.0,26.0,0.0,18.0,26.0,26.0,26.0,25.0,27.0
FSHCX,22.0,24.0,18.0,0.0,21.0,24.0,25.0,26.0,26.0
FSMEX,21.0,19.0,26.0,21.0,0.0,18.0,24.0,21.0,24.0
FSPHX,20.0,3.0,26.0,24.0,18.0,0.0,19.0,18.0,25.0
PHSTX,14.0,19.0,26.0,25.0,24.0,19.0,0.0,24.0,15.0
PRHSX,22.0,17.0,25.0,26.0,21.0,18.0,24.0,0.0,25.0
VGHCX,19.0,25.0,27.0,26.0,24.0,25.0,15.0,25.0,0.0
