Fund,I_without_fund,marginal_impact
FBDIX,9.609375,0.390625
FSHCX,9.609375,0.390625
PRHSX,9.703125,0.296875
VGHCX,9.71875,0.28125
ETHSX,9.828125,0.171875
PHSTX,9.859375,0.140625
FSMEX,10.0,0.0
FSPHX,10.078125,-0.078125
FACDX,10.1875,-0.1875
