Year,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
1999,0.1872240580902147,0.46199101582617375,0.4434978069505746,-0.11163819364310923,0.4597564209956766,0.4297993141129919,0.06615130874891983,0.7606897209981494,0.43295698824835194,0.15208755955913134
2000,0.1466648101306789,0.21166695998164853,0.10799651936063759,0.44360085326213117,-0.015611707460099877,-0.2517002772871554,0.8191351909822611,0.2430697821777259,0.23962779318401095,0.719592416983877
2001,-0.19248777778526793,-0.3081675575972761,-0.13435400904388617,-0.012331184621271252,-0.18844530619785294,-0.1401803916005031,0.031015928224066958,-0.15213850775902904,-0.23144878962926896,-0.12054567249493886
2002,-0.28113759132736804,-0.2013506016650426,-0.2846333280910539,-0.11213109153218026,-0.3160951585232725,-0.31165531487710174,-0.24699869161768262,-0.19072713259488017,-0.2535747050651662,-0.26733024246497916
2003,0.20669737988130077,0.24758327434325955,0.17384913221857312,0.17766128189975916,0.23068427342851194,0.2432073081611792,0.22013845930908382,0.22342312177651102,0.32275798504997244,0.2848506948607519
2004,0.23869864069080182,0.29297508398129213,0.21108360627630263,0.23961431642744913,0.24570611819500865,0.23069877693123853,0.2300009911198122,0.1547566226184156,0.29168672386970496,0.3076249972483207
2005,0.16814037385515568,0.2293216779122198,0.12219455406708124,0.13590184874836986,0.11595875350580553,0.11117337974667851,0.1634209837156988,0.31356682079767406,0.18982394886622567,0.42663258897682477
2006,0.2243448342084795,0.2614529454724759,0.2867794482784256,0.25748485868187365,0.285636121451333,0.30335732242776503,0.17704064822766874,0.3215377843232232,0.28803571558420504,0.6146526139653283
2007,0.18168876667424527,0.1994533596085386,0.12060182205063441,0.23134804967191736,0.18537471976289632,0.20999516614974012,0.2500869300392645,0.3772768942382765,0.3579854429850329,0.5064506505503725
2008,-0.3165820448342639,-0.3158899125829283,-0.3499681311789683,-0.258273542726818,-0.36593717184644536,-0.3613000735446351,-0.2491441083721525,-0.31018562156630014,-0.37901987130389314,-0.47863174649081364
2009,0.13650072786749678,0.18099678838542554,0.0963961259836914,0.14853347059692168,0.1358670825565269,0.136957933382734,0.22496078244109108,0.0735962323841226,0.29861776258962536,0.24045315728384575
2010,0.10135623478357814,0.021408313005506496,0.1543578025319834,0.06775683736278171,0.10458964076009747,0.10479843040929326,0.12601599505984118,0.0782576116940823,0.11661267926067498,0.1291875077653697
2011,0.10609731892211549,0.153514083975278,0.10009081625476357,0.18298167788926833,0.11851292503948208,0.11490260441690414,0.2560786265536181,0.11059142371575881,0.058778213369694354,0.07732874917019883
2012,0.09648955905437462,0.08109860771231459,0.0991371655066835,0.05588134465736383,0.071387745268217,0.0688176352974561,0.0899889879214888,0.016956967784270915,0.11641514796291141,0.11540934459557772
2013,0.23178431445108139,0.15850170046543877,0.17790480986114843,0.11610130514935824,0.1914737420504926,0.17559578685658273,0.2523067335703917,0.11786902378202413,0.23111894414807388,0.24611485822499235
2014,0.2901331288790354,0.19180115204348414,0.16022144209173073,0.32071796120296514,0.33203462966452113,0.24979461529830882,0.2815576915787916,0.2749319247301043,0.22985894707271615,0.4052249786421982
2015,-0.03313554360966209,-0.0766421539423382,-0.036378122195688145,-0.03507001386708397,-0.09651942311188655,-0.11294306278043198,-0.13992768179002524,-0.061713179312859245,-0.09715930517575344,-0.027904693063147246
2016,0.2835900187784357,0.13206610015823572,0.17426400933710284,0.17450997594337214,0.13730054069537556,0.1320411370559198,0.21531922653572977,0.35867523647680266,0.11470703692450712,0.22825907413351176
2017,0.04309379621579579,0.1348550424274726,0.154057507776862,0.1261821779761203,0.22872752470628033,0.1760746329576397,0.07443931247676461,0.14449174364452833,0.151541769083676,0.16231242867085638
2018,0.02919128021781825,0.03477761345005814,0.10214323160796024,0.06337390111614138,0.1575175947339864,0.08111089468161814,0.058272654066571894,0.04301141966025579,0.012638711781894685,0.0810148963100994
2019,0.20438859735153758,0.5502464719666558,0.27081758945523204,0.3020254711530277,0.24180515842857075,0.23166072880833188,0.27583518598178913,0.27238620103891,0.3075036290477029,0.3361470288970221
2020,0.025425793325255075,0.18450618200990343,0.032306002256601074,0.05594653441104591,0.035419996695550626,-0.008899601923244016,-0.015553943540905446,0.06073532046591623,0.10494437068219109,0.04661129797706787
2021,0.226523184814182,0.3195406096791371,0.12177112671230339,0.24003700213837242,0.2132680002065026,0.19705307048861354,0.3307495671044458,0.23615833936740405,0.19828974086250972,0.3314898313459915
2022,0.009670075204929907,0.0683413370851571,0.07131966832663039,0.03904534202957444,0.09147519326088727,0.0567983716259588,0.1362621969720057,0.06803697959915334,0.07951590227080696,0.07703663676077954
2023,-0.07392367553962009,-0.01897682014788582,0.0953572587798388,-0.009396960487846773,0.007150778751759068,-0.013089401703293868,0.05342566047183861,-0.12050716262016536,0.01645134867025333,0.05480479004605332
2024,0.23014838112979974,0.1932412313732439,0.34916628925563464,0.35227644977254036,0.3412719143826155,0.271121050580998,0.30094460005565393,0.13225424231231342,0.12428603435316266,0.38850122752106575
2025,0.2799780686077564,0.20853881277495323,0.17995388489584085,0.22648981422498493,0.17624702591039543,0.20247706232379836,0.222558128958104,0.16156370141997978,0.1724095464586861,0.22634144739523032
