Year,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
1999,-0.06573843045961802,-0.033003447009150144,-0.03768562878814108,-0.050870651883234475,-0.02357795804691476,-0.04549560098474403,0.027880116135331257,-0.08482174494797856,-0.1671525874769837,-0.08087943278759502,-0.025893345043354388
2000,0.30019311200873444,0.308129338180021,0.35836138971068077,0.3439792002155573,0.3430686164037371,0.3226621702036603,0.35309338416501745,0.2910648841374097,0.10171863376387136,0.2071828670513971,0.3528614458754189
2001,0.17047788150301812,0.15153449048479262,0.12660558852668968,0.10657740777949987,0.15999875057284663,0.11208066467021194,0.12575602362855087,0.07121519685682132,0.20052082833242202,0.15670767525572615,0.09729314215658635
2002,0.031025824908195165,0.04705369061489839,0.05704970081926275,0.08558278063139735,0.07500774762112905,0.08412895855046787,0.11884745865115742,0.049136244119549755,-0.009793103874583209,0.03228358852236468,0.053777595205553474
2003,0.4006476538494208,0.3727173003981967,0.36961263592595905,0.42654643271290404,0.35619963735901194,0.3948197710049661,0.39136876192838455,0.380510444336706,0.34847336820177643,0.36710408012649065,0.35207440908822174
2004,0.2843321228196929,0.3590765417735624,0.44055063922184856,0.42513679723779796,0.4179137827510222,0.41193746039587364,0.4137985858300708,0.33360094193415435,0.24585394540436245,0.27013978147761186,0.37641402781218125
2005,0.2793542779681053,0.1700925967195004,0.2954727695725736,0.35093698162741815,0.25864038007634904,0.22502520437619222,0.20557643777207546,0.266435718729618,0.04707412285133694,0.1352813631520109,0.18984302871833525
2006,0.46676893406445497,0.3612000083708595,1.0389123064123091,0.51361177109601,0.4854615800331117,0.5060457653798969,0.396532294865811,0.5481849439804756,0.22632054104348298,0.37017319596277964,0.3747362811126287
2007,-0.21001691967724423,-0.11461564709102845,0.23553017917196217,-0.009889999253927528,-0.15333417319639742,0.0735642396500984,-0.1404101871175123,0.16050667553130227,-0.24762209920338007,-0.06320748860541825,-0.16413884406138823
2008,-0.36728334871375634,-0.37931762923559953,-0.36229303799559043,-0.3538693973243402,-0.3825477105654814,-0.3605337589667891,-0.37379822864568135,-0.45738859667715825,-0.48903426709867737,-0.23930765534731935,-0.39529139950509584
2009,0.4305164894787532,0.3515313171440735,0.2505127292299243,0.369300187965677,0.38528749781843197,0.3641599995783975,0.35075607788083474,0.3553447615216798,0.3866831790981018,0.4048072182991671,0.37080300832883806
2010,0.27265354065526703,0.29779824385688247,0.27427616883481765,0.3135973763794815,0.30783751197626485,0.23923342757575994,0.28660083000750913,0.2004671725385796,0.33447277232124173,0.24082514829278923,0.3101432578107157
2011,0.06267143997548064,0.09021979783056033,0.10074332882275794,0.09043209429227961,0.08499938314705835,0.07839367154315857,0.09737569439481897,0.0944608139633416,0.013607351736915074,0.06744380059329291,0.0742990405377768
2012,0.14856230666967907,0.15285534723599192,0.14374544493174302,0.19765738771167296,0.15572921293845288,0.2550571893703857,0.14447082200130223,0.14841478663258778,0.12956982430514996,0.22969048254576974,0.1486612352906187
2013,0.08323292111038283,0.006651592736728995,0.046101223050286855,0.07481677692335498,0.008641805319605567,0.16569489999593556,0.06788687118517123,-0.02456469210766221,0.018324432371860988,0.03774931640606116,0.025085595251153947
2014,0.42058301759139405,0.33463831522519594,0.37678038353643983,0.3938805563195207,0.32583430869927943,0.3591929229573849,0.40401711297253184,0.29465509381817245,0.3203958681591732,0.4112115744865219,0.3173885084530339
2015,0.3620570584356899,0.026724943982551652,0.16273586830458542,0.08625717917183984,0.10948221876895459,0.20828016562903295,0.25343185925834466,0.01277525380925626,0.06048914161561969,0.04272814859260521,0.042535577613191045
2016,0.10657212115207959,0.08510476417425816,0.3871682467816513,0.1465143064082104,0.10474768780316412,0.23023649050018813,0.3151641612442646,0.09453639587908258,0.1024726174276589,0.132434532796468,0.05819479764095359
