Year,VFIAX,PRNEX,VGENX,PRHSX,VGHCX
1999,20.47201897182167,30.874738720733358,17.356567261513568,21.03296790628619,16.252469663270432
2000,-5.139862088281932,34.83389798386824,50.995309164401206,80.24874622589826,92.26503582045358
2001,-8.794909594632216,-0.37642895667994997,5.45335948379128,1.3122608285770898,0.32779199534775
2002,-22.52499121138587,-5.6871231538652,7.9752439633058,-26.91222607299913,-5.0301402516145695
2003,24.072725281906028,31.27782154012422,34.79395400747906,35.405415579729734,24.37789257129321
2004,10.985944840576888,35.55720515224527,36.25219410600304,15.273625903842131,13.125813807534009
2005,6.627873332992551,43.13010364455685,53.058207019450165,22.69346887306615,22.28164973760087
2006,13.84287280183425,17.13936868714147,17.61046794411398,14.310557868652229,14.515397060784018
2007,6.117438221760052,53.96519945918208,51.480175207468925,32.9349815413817,13.32094826516323
2008,-37.10374584128604,-50.657926914767025,-42.150315525924,-27.978147647400633,-9.611893153200091
2009,23.843368016531308,42.15144530977286,32.47697217008012,30.51434296598638,21.091010796404337
2010,13.110356099288389,17.0141566223362,13.691217641060248,15.685043497632861,7.47071426152259
2011,0.9079860549332297,-11.1389741954181,2.46240466510065,13.4833985024467,15.53172104909503
2012,12.262822139867179,1.91125060006818,-0.7340671558683,34.25050539235044,14.384090831416179
2013,28.393771928666254,23.39122050278619,17.5825701016669,60.10797296666923,53.341535073764575
2014,15.709858057475623,13.60730438922828,-7.64160748490001,51.27470778546073,47.864678843243965
2015,2.3119546115525136,-17.85638309972695,-22.16760383366969,28.785187714059802,21.61417892617445
2016,13.39398091823869,26.44659671366129,33.51580901213349,-4.2244054782749,-0.43146041628821996
2017,20.781434255778365,9.530717611560991,1.81283771175926,37.144433819893266,25.806995223970432
2018,-6.069880391827931,-17.83049779796355,-18.83442981503152,4.19601088922343,6.664533026503159
2019,30.769812441164103,15.878580675700801,10.61707810404051,39.21954926208484,38.14098483355537
2020,17.532586320217547,-2.21676922244155,-31.286171741582542,41.85255415407454,22.11542315399068
2021,30.83520786340861,25.21026565740349,27.83636441730706,24.81144120969223,24.48764091831607
2022,-18.6464053230865,6.9805288633856195,22.415135906975518,-10.20303290712857,4.14619465706891
2023,26.709212034795527,12.21270586369611,14.382707850947659,9.731287786765549,12.93434016933428
2024,26.047871942039414,6.30215809122654,28.042914916648648,15.215423498436358,9.44941085627701
2025,18.889855816117063,26.5410477110952,21.887503714257818,33.57570825623395,21.77891696865947
