,Mean_Return_%,Std_Return_%,Min_Return_%,Max_Return_%,N_Years
SPY,9.827376203720917,17.1777286944383,-37.10374584128604,30.83520786340861,27
PRNEX,9.395424458313286,21.198374577843957,-51.042230130774236,46.36733166250428,27
VGENX,10.81621395656751,23.148450329797914,-43.97823030267783,48.69313944751272,27
PRHSX,14.097844169070068,19.728076808245074,-29.28822742783803,51.69953948682744,27
VGHCX,11.548170844572429,16.29968030525715,-18.257988431515,61.35007323937201,27
