Portfolio,Funds,Return_%,Std_Dev_%,Sharpe_Ratio,Max_Drawdown_%,CV,Hamming_Index,Return/Diversity
P1,"SPY, PRNEX, PRHSX",10.787,15.969,0.425,-38.6345,1.4804,8.1875,1.3175
P2,"SPY, VGENX, VGHCX",10.5048,14.3507,0.4533,-34.1109,1.3661,8.4375,1.245
P3,"SPY, PRNEX, VGHCX",10.1496,14.7211,0.4177,-35.8769,1.4504,8.3125,1.221
P4,"SPY, VGENX, PRHSX",11.1422,15.3965,0.4639,-36.8685,1.3818,8.1875,1.3609
