,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,20.0,58.0,65.0,17.0,40.0
FSENX,20.0,0.0,66.0,77.0,11.0,50.0
ICPAX,58.0,66.0,0.0,91.0,61.0,82.0
PRNEX,65.0,77.0,91.0,0.0,74.0,37.0
RYEIX,17.0,11.0,61.0,74.0,0.0,47.0
VGENX,40.0,50.0,82.0,37.0,47.0,0.0
