,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,16.0,18.0,25.0,13.0,18.0
FSENX,16.0,0.0,19.0,26.0,11.0,20.0
ICPAX,18.0,19.0,0.0,26.0,17.0,23.0
PRNEX,25.0,26.0,26.0,0.0,25.0,23.0
RYEIX,13.0,11.0,17.0,25.0,0.0,20.0
VGENX,18.0,20.0,23.0,23.0,20.0,0.0
