,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,13.0,18.0,20.0,20.0,20.0,14.0,21.0,20.0,19.0
EVUAX,13.0,0.0,15.0,23.0,24.0,24.0,18.0,24.0,19.0,15.0
FIUIX,18.0,15.0,0.0,18.0,22.0,22.0,15.0,22.0,18.0,18.0
FKUTX,20.0,23.0,18.0,0.0,14.0,19.0,16.0,20.0,24.0,19.0
FSUTX,20.0,24.0,22.0,14.0,0.0,5.0,21.0,20.0,25.0,22.0
FUGAX,20.0,24.0,22.0,19.0,5.0,0.0,22.0,19.0,23.0,24.0
GASFX,14.0,18.0,15.0,16.0,21.0,22.0,0.0,23.0,22.0,21.0
ICTUX,21.0,24.0,22.0,20.0,20.0,19.0,23.0,0.0,25.0,22.0
MMUFX,20.0,19.0,18.0,24.0,25.0,23.0,22.0,25.0,0.0,18.0
PRUAX,19.0,15.0,18.0,19.0,22.0,24.0,21.0,22.0,18.0,0.0
