,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,18.0,25.0,29.0,32.0,35.0,21.0,30.0,31.0,27.0
EVUAX,18.0,0.0,23.0,41.0,46.0,47.0,25.0,40.0,29.0,27.0
FIUIX,25.0,23.0,0.0,40.0,43.0,44.0,26.0,39.0,28.0,34.0
FKUTX,29.0,41.0,40.0,0.0,15.0,20.0,24.0,31.0,56.0,38.0
FSUTX,32.0,46.0,43.0,15.0,0.0,5.0,31.0,32.0,59.0,45.0
FUGAX,35.0,47.0,44.0,20.0,5.0,0.0,34.0,33.0,60.0,48.0
GASFX,21.0,25.0,26.0,24.0,31.0,34.0,0.0,31.0,40.0,30.0
ICTUX,30.0,40.0,39.0,31.0,32.0,33.0,31.0,0.0,51.0,37.0
MMUFX,31.0,29.0,28.0,56.0,59.0,60.0,40.0,51.0,0.0,36.0
PRUAX,27.0,27.0,34.0,38.0,45.0,48.0,30.0,37.0,36.0,0.0
