,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,15.0,26.0,22.0,15.0,16.0,13.0,17.0,17.0
FACDX,15.0,0.0,26.0,23.0,13.0,2.0,16.0,15.0,21.0
FBDIX,26.0,26.0,0.0,16.0,25.0,26.0,26.0,25.0,27.0
FSHCX,22.0,23.0,16.0,0.0,21.0,23.0,25.0,23.0,27.0
FSMEX,15.0,13.0,25.0,21.0,0.0,13.0,20.0,17.0,25.0
FSPHX,16.0,2.0,26.0,23.0,13.0,0.0,15.0,16.0,21.0
PHSTX,13.0,16.0,26.0,25.0,20.0,15.0,0.0,22.0,14.0
PRHSX,17.0,15.0,25.0,23.0,17.0,16.0,22.0,0.0,23.0
VGHCX,17.0,21.0,27.0,27.0,25.0,21.0,14.0,23.0,0.0
