,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,21.0,83.0,56.0,28.0,24.0,16.0,22.0,26.0
FACDX,21.0,0.0,76.0,49.0,15.0,3.0,19.0,17.0,33.0
FBDIX,83.0,76.0,0.0,37.0,69.0,75.0,95.0,63.0,109.0
FSHCX,56.0,49.0,37.0,0.0,46.0,52.0,66.0,42.0,80.0
FSMEX,28.0,15.0,69.0,46.0,0.0,14.0,30.0,24.0,42.0
FSPHX,24.0,3.0,75.0,52.0,14.0,0.0,20.0,20.0,34.0
PHSTX,16.0,19.0,95.0,66.0,30.0,20.0,0.0,32.0,16.0
PRHSX,22.0,17.0,63.0,42.0,24.0,20.0,32.0,0.0,46.0
VGHCX,26.0,33.0,109.0,80.0,42.0,34.0,16.0,46.0,0.0
