,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,14.0,48.0,55.0,11.0,32.0
FSENX,14.0,0.0,52.0,61.0,7.0,36.0
ICPAX,48.0,52.0,0.0,71.0,49.0,64.0
PRNEX,55.0,61.0,71.0,0.0,62.0,29.0
RYEIX,11.0,7.0,49.0,62.0,0.0,37.0
VGENX,32.0,36.0,64.0,29.0,37.0,0.0
