,FNARX,FRNRX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,0.6071428571428571,0.6428571428571429,0.7142857142857143,0.8214285714285714,0.6428571428571429,0.6428571428571429
FRNRX,0.6071428571428571,0.0,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6071428571428571,0.75
FSENX,0.6428571428571429,0.7142857142857143,0.0,0.7142857142857143,0.8214285714285714,0.4642857142857143,0.7857142857142857
ICPAX,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.8928571428571429,0.6785714285714286,0.8928571428571429
PRNEX,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8928571428571429,0.0,0.7857142857142857,0.7857142857142857
RYEIX,0.6428571428571429,0.6071428571428571,0.4642857142857143,0.6785714285714286,0.7857142857142857,0.0,0.75
VGENX,0.6428571428571429,0.75,0.7857142857142857,0.8928571428571429,0.7857142857142857,0.75,0.0
