,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX,YEAR_MODE
1999,7,7,6,7,7,7,8,6,7,6,7,7
2000,8,9,8,9,9,8,9,8,8,8,8,8
2001,6,7,5,9,8,7,8,5,6,5,6,5
2002,9,9,7,8,9,8,9,8,9,8,8,8
2003,2,3,2,4,3,2,3,2,2,2,2,2
2004,5,6,8,7,6,6,7,5,6,7,6,6
2005,9,3,9,7,3,3,3,5,2,3,2,3
2006,7,3,10,7,7,7,3,8,1,3,2,7
2007,4,9,10,9,8,10,8,10,7,7,7,7
2008,10,10,10,10,10,10,10,10,10,10,10,10
2009,10,10,10,10,10,10,10,10,10,10,10,10
2010,5,6,7,5,6,5,6,3,7,4,6,6
2011,4,4,5,4,4,4,5,2,4,4,3,4
2012,1,1,1,1,1,4,1,1,1,1,1,1
2013,2,2,2,3,2,8,4,2,1,2,1,2
2014,4,1,2,1,1,1,2,1,1,7,1,1
2015,9,3,8,4,4,9,9,2,4,3,3,3
2016,3,5,10,5,4,9,9,3,3,4,3,3
2017,1,1,1,5,1,2,9,2,1,1,1,1
2018,5,5,4,5,6,6,9,4,5,4,4,4
2019,3,3,2,7,3,9,10,2,2,3,8,3
2020,9,9,2,8,9,9,9,9,8,8,10,9
2021,2,2,1,9,3,3,3,3,2,4,9,3
2022,6,5,6,8,6,8,8,4,4,7,10,6
2023,5,5,1,4,4,5,8,7,4,7,7,4
2024,5,5,1,5,6,5,6,5,4,5,6,5
2025,6,6,2,5,6,6,5,6,4,6,7,6
mode,5,3,2,5,6,8,9,2,4,4,1,
median,5.0,5.0,5.0,7.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,
switches,24,22,20,19,23,20,20,23,20,22,21,
inertia,2,3,4,3,2,3,4,3,4,2,3,
