,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX,YEAR_MODE
1999,10,10,10,10,10,9,10,10,10,9,9,10
2000,10,10,10,10,10,10,10,10,10,10,10,10
2001,10,10,10,10,10,10,10,10,10,10,10,10
2002,10,9,10,10,9,10,10,10,10,9,9,10
2003,9,7,9,8,9,7,7,9,9,6,5,9
2004,9,6,10,8,8,7,7,8,9,5,5,8
2005,5,5,7,3,3,3,4,5,6,3,3,3
2006,5,4,8,4,3,4,5,6,6,3,4,4
2007,7,4,7,6,4,4,3,4,6,3,10,4
2008,9,9,10,9,8,8,9,9,9,8,8,9
2009,7,5,9,6,5,5,6,8,6,4,5,5
2010,5,2,8,3,2,2,3,3,5,2,2,2
2011,5,3,9,5,2,4,4,3,7,3,3,3
2012,4,2,8,3,2,3,2,2,5,3,3,2
2013,4,2,5,2,2,2,2,1,5,2,2,2
2014,3,8,5,3,2,2,2,1,6,3,3,3
2015,3,2,7,2,2,2,1,1,4,5,4,2
2016,4,4,7,3,3,2,3,2,7,5,5,3
2017,3,2,5,3,3,2,2,2,6,5,5,2
2018,3,4,9,5,4,4,5,2,8,5,5,5
2019,3,2,9,2,2,2,2,1,6,4,4,2
2020,5,7,10,7,8,7,8,5,9,7,7,7
2021,4,4,10,5,3,5,6,2,9,6,6,6
2022,3,5,10,6,4,6,5,3,9,6,6,6
2023,3,4,10,5,2,4,4,2,6,4,4,4
2024,3,5,10,5,2,3,4,3,5,3,3,3
2025,5,6,10,6,4,4,4,4,6,7,7,4
mode,3,2,10,3,2,2,2,2,6,3,5,
median,5.0,5.0,9.0,5.0,3.0,4.0,4.0,3.0,6.0,5.0,5.0,
switches,14,22,15,20,15,18,18,18,17,18,20,
inertia,4,3,6,4,6,5,4,4,4,4,3,
