Date,Fund_Return,SPY_Return,Residual
1999-01-05,0.0105395967052754,0.0114301361336019,-0.0033537893171110868
1999-01-06,0.0263802705286968,0.0241087440913316,-0.00271844178154277
1999-01-07,-0.0035863654877952,-0.00490469989152,0.0021104521185320783
1999-01-08,0.0029994424760808,0.0073927808818474,-0.006051984228092246
1999-01-11,0.0029904727251655,-0.0095399053042989,0.014246245300958242
1999-01-12,-0.0238520728201453,-0.0180289888331161,-0.0024154282297865065
1999-01-13,-0.0018326656965289,-0.0070430694643736,0.006428676910307839
1999-01-14,-0.0110159887374833,-0.0174769679560642,0.009758622798358369
1999-01-15,0.0464108581216422,0.0260378212502239,0.01499862308610067
1999-01-19,0.0295682513959381,0.0065328463668903,0.02154813545787622
1999-01-20,-0.0126363032873365,0.0079879394708821,-0.02240149766769782
1999-01-21,-0.0215241493611522,-0.0264978868569926,0.010069158971860486
1999-01-22,0.002972504615617,-0.0022900933755404,0.005533651072369946
1999-01-25,0.0118554391750465,0.0101993801226749,-0.0005619136117297457
1999-01-26,0.025776171209118,0.0181724577092745,0.0037967871152136366
1999-01-27,-0.0102798228393153,-0.0116508276691498,0.003507557578039876
1999-01-28,0.030005994434525,0.0168049136974601,0.0096666920421737
1999-01-29,0.0061622307260991,0.0076461826338987,-0.003193098136315584
1999-02-01,0.0072384278505814,-0.0058750959548181,0.014099031640698674
1999-02-02,-0.0232172931129254,-0.0061559867110634,-0.016019819879869977
1999-02-03,0.0090547895357206,0.0101583994799185,-0.0033134155806903744
1999-02-04,-0.0297251778301712,-0.014961860313886,-0.011966909450920077
1999-02-05,-0.0236994287056387,-0.0114546069062992,-0.01014737386452518
1999-02-08,0.0159859992135891,0.0020153903793898,0.013383622550214958
1999-02-09,-0.0355480437185703,-0.022372465494127,-0.008902311500095305
1999-02-10,-0.0030209992850608,0.0064283467336547,-0.01091578986992887
1999-02-11,0.0496969798489408,0.0229941933026314,0.02193493702663492
1999-02-12,-0.0248268841438669,-0.0119882825241451,-0.010634797532051677
1999-02-16,-0.0094729513462514,-0.0060669716672651,-0.0023822329548941522
1999-02-17,-0.0334728394979676,-0.0010169853895025,-0.03243851857221279
1999-02-18,-0.0030921897503114,0.0078919541759043,-0.012742269937234513
1999-02-19,0.0111664314727408,0.0042942932602552,0.00583098963396142
1999-02-22,0.0171777848548055,0.0266596425794465,-0.014980194211555428
1999-02-23,0.0211097823070165,-0.0004899031488825,0.021511978832688915
1999-02-24,-0.0135851871311559,-0.0176469820136141,0.007393320544324032
1999-02-25,-0.0131738178656879,-0.0094814818869096,-0.0019881119034553755
1999-02-26,-0.0224513691660011,-0.0040298927042671,-0.01780369897124196
1999-03-01,0.0031036073605887,0.0027829317219738,-0.00041927387176624335
1999-03-02,-0.0148515571660068,-0.0088283047951532,-0.0044491998834573585
1999-03-03,-0.0106783239592144,0.0053435846483056,-0.017272170346784448
1999-03-04,0.0114286521109019,0.01265514926463,-0.0039338797693175605
1999-03-05,0.0112994141842204,0.0201200295330181,-0.01301567309948062
1999-03-08,0.016139113232221,0.0064925629264263,0.008167308816866866
1999-03-09,0.0024432955068882,-0.0024340125142094,0.005177042730998635
