Fund,Year,Decile,KMeans,Ward
MMUFX,1999,2,5,4
PRUAX,1999,4,8,6
MMUFX,2000,8,2,1
PRUAX,2000,8,2,1
MMUFX,2001,6,7,7
PRUAX,2001,9,9,5
MMUFX,2002,7,7,7
PRUAX,2002,8,9,5
MMUFX,2003,2,3,4
PRUAX,2003,3,8,6
MMUFX,2004,1,3,10
PRUAX,2004,3,5,9
MMUFX,2005,2,3,4
PRUAX,2005,4,8,6
MMUFX,2006,2,3,4
PRUAX,2006,3,5,9
MMUFX,2007,2,3,4
PRUAX,2007,2,5,4
MMUFX,2008,8,9,5
PRUAX,2008,9,9,5
MMUFX,2009,5,1,2
PRUAX,2009,4,1,2
MMUFX,2010,2,3,10
PRUAX,2010,2,3,10
MMUFX,2011,1,3,10
PRUAX,2011,2,3,4
MMUFX,2012,1,3,10
PRUAX,2012,1,3,10
MMUFX,2013,1,3,10
PRUAX,2013,1,3,10
MMUFX,2014,2,3,4
PRUAX,2014,9,4,3
MMUFX,2015,4,8,6
PRUAX,2015,5,1,2
MMUFX,2016,5,1,2
PRUAX,2016,5,10,2
MMUFX,2017,2,3,10
PRUAX,2017,2,5,9
MMUFX,2018,2,5,9
PRUAX,2018,5,10,2
MMUFX,2019,2,3,10
PRUAX,2019,4,8,6
MMUFX,2020,8,2,1
PRUAX,2020,9,9,5
MMUFX,2021,4,1,2
PRUAX,2021,4,1,2
MMUFX,2022,7,2,1
PRUAX,2022,8,2,1
MMUFX,2023,7,7,1
PRUAX,2023,7,7,1
MMUFX,2024,8,2,1
PRUAX,2024,8,2,1
MMUFX,2025,7,7,1
PRUAX,2025,8,2,1
