,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,13.0,17.0,10.0,12.0,12.0,13.0,15.0,14.0,9.0,13.0
DFREX,13.0,0.0,10.0,9.0,5.0,11.0,4.0,15.0,11.0,10.0,7.0
DPREX,17.0,10.0,0.0,12.0,9.0,15.0,10.0,18.0,16.0,15.0,12.0
FREAX,10.0,9.0,12.0,0.0,6.0,8.0,7.0,15.0,14.0,11.0,7.0
FRESX,12.0,5.0,9.0,6.0,0.0,7.0,1.0,12.0,12.0,9.0,3.0
IARAX,12.0,11.0,15.0,8.0,7.0,0.0,8.0,9.0,13.0,11.0,6.0
PHRAX,13.0,4.0,10.0,7.0,1.0,8.0,0.0,13.0,12.0,10.0,4.0
RPFRX,15.0,15.0,18.0,15.0,12.0,9.0,13.0,0.0,14.0,15.0,12.0
SOAAX,14.0,11.0,16.0,14.0,12.0,13.0,12.0,14.0,0.0,12.0,13.0
STMDX,9.0,10.0,15.0,11.0,9.0,11.0,10.0,15.0,12.0,0.0,10.0
TRREX,13.0,7.0,12.0,7.0,3.0,6.0,4.0,12.0,13.0,10.0,0.0
