,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,14.0,36.0,15.0,13.0,16.0,14.0,16.0,15.0,9.0,14.0
DFREX,14.0,0.0,28.0,11.0,5.0,14.0,4.0,20.0,13.0,11.0,8.0
DPREX,36.0,28.0,0.0,33.0,27.0,36.0,28.0,40.0,31.0,33.0,30.0
FREAX,15.0,11.0,33.0,0.0,8.0,11.0,9.0,19.0,18.0,14.0,9.0
FRESX,13.0,5.0,27.0,8.0,0.0,9.0,1.0,15.0,12.0,10.0,3.0
IARAX,16.0,14.0,36.0,11.0,9.0,0.0,10.0,12.0,15.0,15.0,8.0
PHRAX,14.0,4.0,28.0,9.0,1.0,10.0,0.0,16.0,13.0,11.0,4.0
RPFRX,16.0,20.0,40.0,19.0,15.0,12.0,16.0,0.0,17.0,17.0,14.0
SOAAX,15.0,13.0,31.0,18.0,12.0,15.0,13.0,17.0,0.0,14.0,13.0
STMDX,9.0,11.0,33.0,14.0,10.0,15.0,11.0,17.0,14.0,0.0,11.0
TRREX,14.0,8.0,30.0,9.0,3.0,8.0,4.0,14.0,13.0,11.0,0.0
