,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,17.0,16.0,22.0,25.0,26.0,16.0,24.0,26.0,21.0
EVUAX,17.0,0.0,21.0,35.0,38.0,37.0,21.0,33.0,23.0,26.0
FIUIX,16.0,21.0,0.0,32.0,33.0,32.0,18.0,30.0,22.0,29.0
FKUTX,22.0,35.0,32.0,0.0,7.0,10.0,18.0,24.0,42.0,27.0
FSUTX,25.0,38.0,33.0,7.0,0.0,3.0,21.0,23.0,45.0,32.0
FUGAX,26.0,37.0,32.0,10.0,3.0,0.0,22.0,24.0,44.0,35.0
GASFX,16.0,21.0,18.0,18.0,21.0,22.0,0.0,22.0,30.0,19.0
ICTUX,24.0,33.0,30.0,24.0,23.0,24.0,22.0,0.0,40.0,29.0
MMUFX,26.0,23.0,22.0,42.0,45.0,44.0,30.0,40.0,0.0,29.0
PRUAX,21.0,26.0,29.0,27.0,32.0,35.0,19.0,29.0,29.0,0.0
