Fund,Year,L2_Distance,Sector,Quantile
FSMEX,2003,0.0055102716772346,healthcare,2
FSMEX,2004,0.0054380448871962,healthcare,1
FSMEX,2005,0.0047541671109614,healthcare,1
FSMEX,2006,0.0068597522038466,healthcare,3
FSMEX,2007,0.0063964396932698,healthcare,3
FSMEX,2008,0.0097551251639677,healthcare,7
FSMEX,2009,0.0093350801818419,healthcare,7
FSMEX,2010,0.0052095785778637,healthcare,1
FSMEX,2011,0.0074941152544195,healthcare,4
FSMEX,2012,0.0049389829751769,healthcare,1
FSMEX,2013,0.0079213568263863,healthcare,5
FSMEX,2014,0.0187195600327439,healthcare,10
FSMEX,2015,0.0103554537018369,healthcare,8
FSMEX,2016,0.0083775537094004,healthcare,5
FSMEX,2017,0.0067393183323857,healthcare,3
FSMEX,2018,0.0061649664988797,healthcare,2
FSMEX,2019,0.0068995175773597,healthcare,3
FSMEX,2020,0.0102971620694609,healthcare,8
FSMEX,2021,0.0094094077443149,healthcare,7
FSMEX,2022,0.0104416978699363,healthcare,8
FSMEX,2023,0.0079113654755056,healthcare,5
FSMEX,2024,0.0085795803252312,healthcare,6
FSMEX,2025,0.0088583428672522,healthcare,6
FSPHX,1999,0.0098290109511837,healthcare,7
FSPHX,2000,0.0163995075556536,healthcare,10
FSPHX,2001,0.0112517939657799,healthcare,8
FSPHX,2002,0.0095548434592101,healthcare,7
FSPHX,2003,0.0058322386617208,healthcare,2
FSPHX,2004,0.0052430415343504,healthcare,1
FSPHX,2005,0.0083727110116411,healthcare,5
FSPHX,2006,0.0082373499869164,healthcare,5
FSPHX,2007,0.006918208770319,healthcare,3
FSPHX,2008,0.0082075375449769,healthcare,5
FSPHX,2009,0.0083149160738379,healthcare,5
FSPHX,2010,0.00456525390331,healthcare,1
FSPHX,2011,0.0092693298449781,healthcare,6
FSPHX,2012,0.0066990943417497,healthcare,3
FSPHX,2013,0.0085216256993542,healthcare,6
FSPHX,2014,0.015967831585409,healthcare,10
FSPHX,2015,0.0100281494235766,healthcare,7
FSPHX,2016,0.0085726736701286,healthcare,6
FSPHX,2017,0.005511624033841,healthcare,2
FSPHX,2018,0.0063708212763526,healthcare,2
FSPHX,2019,0.0066949876098128,healthcare,3
FSPHX,2020,0.0107624001439506,healthcare,8
FSPHX,2021,0.0085038013424326,healthcare,6
FSPHX,2022,0.0086634839780206,healthcare,6
FSPHX,2023,0.0062324023142072,healthcare,2
FSPHX,2024,0.0086450902475041,healthcare,6
FSPHX,2025,0.0096529358136168,healthcare,7
PHSTX,1999,0.0079447705229833,healthcare,5
PHSTX,2000,0.0140451548028931,healthcare,10
PHSTX,2001,0.0109373428932526,healthcare,8
PHSTX,2002,0.0084473032918909,healthcare,6
PHSTX,2003,0.0055132379497976,healthcare,2
PHSTX,2004,0.0065367006925458,healthcare,3
PHSTX,2005,0.0065478564837899,healthcare,3
PHSTX,2006,0.0079182306248308,healthcare,5
PHSTX,2007,0.0084973526808176,healthcare,6
PHSTX,2008,0.0145196122028841,healthcare,10
PHSTX,2009,0.0076153271378461,healthcare,4
PHSTX,2010,0.0062230155079768,healthcare,2
PHSTX,2011,0.0093822138218625,healthcare,7
PHSTX,2012,0.005633545712598,healthcare,2
PHSTX,2013,0.0089422771229137,healthcare,6
PHSTX,2014,0.0069489325111378,healthcare,3
PHSTX,2015,0.0127646780344711,healthcare,9
PHSTX,2016,0.0105480311893071,healthcare,8
PHSTX,2017,0.0133893197445284,healthcare,9
