Year,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
1999,0.7901812543990419,0.9458765592584395,1.0113923184884674,1.261778310553375,1.0179310556160752,1.106898826136839,0.31556101688537663,1.3924676590805856,1.219231251536912,1.1474306838418036,0.7470100362532497
2000,-0.3002085886037348,-0.19639209032590232,-0.18098340355438247,-0.33906710238417503,0.1684349735933044,-0.2647163531398561,-0.13012358876137187,-0.1319249222443757,-0.36759514618227573,-0.3081030167865032,-0.3737861809520262
2001,-0.1812207655602317,0.06204505485761724,-0.08248023237315794,-0.22032169749813657,-0.04511987003337403,-0.27161207220422856,-0.2964329043071935,-0.48109233981131727,-0.16228197651684384,-0.17442579213513765,0.10703729498521186
2002,-0.43258452546161197,-0.2340692973062174,-0.5221916717788244,-0.3901846269433119,-0.4234496343816494,-0.4018865260695611,-0.4629467781139688,-0.5728444401975772,-0.4928523730898845,-0.33483149947992863,-0.3728086713318145
2003,0.5619294679175251,0.3068181889895145,0.6331129335960985,0.5281863313431616,0.43365683342830685,0.41560090261569305,0.40062117066588776,0.5143489141199105,0.9071244481106551,0.3351708965790059,0.3924051933378141
2004,-0.028531891180271884,0.07405696325602862,-0.10481182759622854,-0.0016432635427207076,0.03749996740240458,0.016274858535739734,0.01878464010798564,0.026277382411935335,0.0699063562873703,0.042044717665284725,0.10718909469076388
2005,0.040369183888378846,0.006905593557095413,0.17743676982155665,0.0611663864009282,-0.022371448725801546,0.047619184854025054,0.07032940676428878,6.661338147750939e-15,0.040076047919964664,0.09177978286088306,0.08465793300485291
2006,0.07397358619853556,0.22629521107397776,-0.022961350283179915,0.05027851839530917,0.04943823098740863,-0.02093812812384188,0.18913472808352916,0.026836026852434802,0.06719526007405197,0.16272412780981438,0.20130114793860576
2007,0.22716973414318464,0.2442281620083211,0.04470438228302864,0.19672116696640196,0.19169333914538322,0.14761093450452933,0.20675099012380493,0.10973926020905589,0.23246264747760392,0.15270948099164938,0.15264389642640763
2008,-0.47781058020399614,-0.4177631177515627,-0.48863860880407994,-0.5110907987362376,-0.47416974357228225,-0.45245398001313797,-0.509325591826732,-0.44260223763787243,-0.5157706878295102,-0.4012041303743107,-0.36239623408704735
2009,0.7782489902960879,0.5806383113022326,0.7937699836885876,0.8519965088992509,0.4206346058754755,0.5435072048373599,0.6895603096934022,0.7155171474684969,0.7006804148504142,0.5961705503879571,0.556659985301863
2010,0.21786900262748032,0.17414606763759988,0.14655301810457688,0.24765725209006306,0.05450243118002662,0.16980224977682923,0.18387078125457412,0.13516903422741522,0.34549475246854433,0.13707205009480017,0.14118524421296752
2011,-0.06261976921017864,0.009373265641784423,-0.09149271109323964,-0.10883223665093789,0.010044460926555532,-0.05559619690547457,-0.0020216768816215813,0.01419231299650403,-0.13393417455567724,-0.07973412479005793,-0.05639837861773778
2012,0.1018430544019242,0.14665808541411707,-0.004031123032000594,0.13392751120360402,0.08251913130286725,0.10228976900342213,0.10413898539253674,0.09178861900981605,0.048815603287609255,0.04744921310405359,0.04330989383876771
2013,0.2698615835420519,0.45970523103206395,0.33053779207678957,0.27459289244459906,0.20363291881044798,0.22787329232290565,0.3008594832093552,0.39462122096818564,0.3958302092104955,0.21963926710230286,0.1871685462212529
2014,0.17417910477412235,0.1052555495677523,0.41107254435222806,0.12279282122410629,0.1773159354276268,0.12527843876434464,0.12384217453670532,0.16635180254784698,0.07868715446564956,0.2697110092460644,0.2783768495390191
2015,-0.12520826183987677,0.11890554814031695,0.035996057468396625,0.08601038524193139,0.11881860518773157,0.06172203442378432,0.11926712863088329,0.02563829742539947,0.0796846672984246,0.116567611059883,0.11132803678319969
