,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,12.0,18.0,19.0,17.0,18.0,13.0,19.0,21.0,15.0
EVUAX,12.0,0.0,16.0,23.0,23.0,23.0,17.0,17.0,18.0,15.0
FIUIX,18.0,16.0,0.0,23.0,21.0,22.0,17.0,22.0,13.0,19.0
FKUTX,19.0,23.0,23.0,0.0,12.0,12.0,18.0,22.0,25.0,20.0
FSUTX,17.0,23.0,21.0,12.0,0.0,4.0,23.0,21.0,23.0,23.0
FUGAX,18.0,23.0,22.0,12.0,4.0,0.0,20.0,23.0,24.0,23.0
GASFX,13.0,17.0,17.0,18.0,23.0,20.0,0.0,20.0,23.0,19.0
ICTUX,19.0,17.0,22.0,22.0,21.0,23.0,20.0,0.0,20.0,21.0
MMUFX,21.0,18.0,13.0,25.0,23.0,24.0,23.0,20.0,0.0,19.0
PRUAX,15.0,15.0,19.0,20.0,23.0,23.0,19.0,21.0,19.0,0.0
