Year,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
1999,-0.06573739150517299,-0.033003888098991796,-0.0376854812849261,-0.05087098962610559,-0.023578594186351998,-0.045495797648082426,0.027880568869391054,-0.08482181162971247,-0.16715300217132067,-0.08087908045192127,-0.02589361100509835
2000,0.28855881174236697,0.2963662858074798,0.34151695824503414,0.3323383036654335,0.3292031597198881,0.3075169695584452,0.3389489520290636,0.2731834726775195,0.09857135181674015,0.1991390872184431,0.33430652396294924
2001,0.17047758271879454,0.14185719758094328,0.09363588753291663,0.10657681775319272,0.10358008496800997,0.11208040767651317,0.07193775338110009,0.07121548908002984,0.20052131529931194,0.15670794850197067,0.09729340558087385
2002,0.03102576614707897,0.0408842288929705,0.030665024282415798,0.05839720301022311,0.050448088906568156,0.08412905507708968,0.11002485897313963,0.049136862403015735,-0.009792980915110161,0.026048287963942984,0.05377772361343469
2003,0.37740541630420066,0.3605736273806528,0.3404604572957739,0.3739134207342092,0.34115024326737986,0.3948206977023654,0.37976136453850695,0.3805096650368478,0.3484730202160853,0.33724207100127024,0.3520746035620361
2004,0.26424068591919414,0.3254956791136532,0.3137861501493804,0.3230331298825535,0.34813815847782337,0.3687975293663981,0.3339162458771283,0.33360184203374454,0.24585471000284986,0.22656834742892995,0.3709277936362836
2005,0.07870871119671863,0.14458132644778643,0.07926552213489435,0.16447247451169345,0.16580102131349528,0.15651417388603472,0.16104400809765274,0.14193655831695606,0.03311273352048816,0.054643777621554035,0.15913716685957602
2006,0.2769442401475861,0.3240440267867073,0.2933499342568129,0.36656053745957284,0.3044157361310462,0.3366350834006273,0.33820403181258274,0.32448461009226204,0.22631992940781287,0.25887756929345396,0.3408761431119798
2007,-0.21001672774625568,-0.1931113246853582,-0.14702320757521803,-0.16174603811658794,-0.22132979050147994,-0.16484025726701002,-0.1710696504166005,-0.15904661746766346,-0.24762216882887256,-0.1559207395247666,-0.19574592476904273
2008,-0.3860429187837455,-0.4009137195669942,-0.3836410197475425,-0.37316181378970503,-0.40603098040356533,-0.3864990397291226,-0.39520368748270784,-0.49143351931101165,-0.5044767933142902,-0.32364502331736045,-0.4143674635243755
2009,0.43051625660407855,0.35153178462146695,0.25051281888338095,0.3693006828717642,0.38528772388276145,0.3641595343644042,0.3507562291227342,0.35534536521354365,0.3866828757748213,0.40480753569907013,0.3708034464954506
2010,0.2726534812970314,0.29779850369117766,0.2742767668605026,0.31359777474834405,0.3078375853120314,0.23923336653310656,0.28660196626776346,0.20046633162467398,0.3344733146326351,0.24082456774826522,0.3101424188146973
2011,0.04223551070745257,0.0688825575820502,0.07947809739134981,0.05645279008396442,0.0618084693422718,0.05763716603809099,0.07610139160310814,0.08016840847149598,-0.0075091437884806655,0.03465793738171197,0.05439310448060586
2012,0.14856257120020633,0.1528555865041945,0.14374475755915372,0.15919657661820596,0.15572848912223436,0.14398543360536098,0.14447098964024896,0.14841439694857894,0.12956992985342097,0.16433524288358847,0.1486613132169543
2013,0.03570762457760113,0.006651382419578633,0.00983470552200072,0.004371948059536335,0.007993766051809237,0.008775409989005833,-0.003433614037300692,-0.024565141115707845,0.018324128272418694,0.014263041867533355,0.02508502489115072
2014,0.3447807062137276,0.3346381602736248,0.3128960024121836,0.3324034841018899,0.3258344462729448,0.30405009357956914,0.33614527991832177,0.29465504716899327,0.3203953896207514,0.3339462517096503,0.317388388498435
