Year,Best_Fund
2004,RSIFX
2005,FSELX
2006,FDCPX
2007,SHGTX
2008,FSELX
2009,FSELX
2010,RSIFX
2011,FSELX
2012,FSELX
2013,FSELX
2014,FSELX
2015,FSELX
2016,FSELX
2017,FSELX
2018,FSELX
2019,FSELX
2020,FSELX
2021,FSELX
2022,RSIFX
2023,FSELX
2024,FSELX
2025,FSELX
