Year,Best_Fund
2004,CSEIX
2005,CSEIX
2006,IARAX
2007,STMDX
2008,FREAX
2009,RPFRX
2010,RPFRX
2011,STMDX
2012,RPFRX
2013,RPFRX
2014,STMDX
2015,RPFRX
2016,RPFRX
2017,RPFRX
2018,RPFRX
2019,SOAAX
2020,RPFRX
2021,RPFRX
2022,CSEIX
2023,RPFRX
2024,RPFRX
2025,RPFRX
