Year,Best_Fund
2004,FBDIX
2005,FBDIX
2006,VGHCX
2007,VGHCX
2008,FSHCX
2009,FSHCX
2010,VGHCX
2011,FSHCX
2012,FSHCX
2013,VGHCX
2014,VGHCX
2015,FBDIX
2016,FBDIX
2017,FBDIX
2018,FBDIX
2019,FBDIX
2020,FBDIX
2021,FBDIX
2022,FBDIX
2023,FBDIX
2024,FBDIX
2025,FBDIX
