Year,Best_Fund
2004,FNARX
2005,PRNEX
2006,PRNEX
2007,PRNEX
2008,ICPAX
2009,ICPAX
2010,ICPAX
2011,ICPAX
2012,ICPAX
2013,ICPAX
2014,ICPAX
2015,ICPAX
2016,ICPAX
2017,ICPAX
2018,PRNEX
2019,PRNEX
2020,PRNEX
2021,PRNEX
2022,PRNEX
2023,PRNEX
2024,PRNEX
2025,PRNEX
