,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,17.0,17.0,22.0,23.0,26.0,14.0,28.0,27.0,26.0
EVUAX,17.0,0.0,18.0,35.0,36.0,39.0,21.0,31.0,22.0,25.0
FIUIX,17.0,18.0,0.0,31.0,32.0,35.0,17.0,31.0,22.0,33.0
FKUTX,22.0,35.0,31.0,0.0,9.0,10.0,20.0,30.0,47.0,36.0
FSUTX,23.0,36.0,32.0,9.0,0.0,5.0,25.0,31.0,48.0,39.0
FUGAX,26.0,39.0,35.0,10.0,5.0,0.0,28.0,30.0,51.0,42.0
GASFX,14.0,21.0,17.0,20.0,25.0,28.0,0.0,24.0,35.0,26.0
ICTUX,28.0,31.0,31.0,30.0,31.0,30.0,24.0,0.0,41.0,38.0
MMUFX,27.0,22.0,22.0,47.0,48.0,51.0,35.0,41.0,0.0,31.0
PRUAX,26.0,25.0,33.0,36.0,39.0,42.0,26.0,38.0,31.0,0.0
