,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,40.0,82.0,31.0,44.0,36.0,31.0,35.0,48.0,50.0,46.0
FSCSX,40.0,0.0,100.0,25.0,32.0,26.0,29.0,39.0,62.0,38.0,38.0
FSELX,82.0,100.0,0.0,85.0,110.0,106.0,99.0,109.0,44.0,98.0,94.0
FSPTX,31.0,25.0,85.0,0.0,31.0,21.0,16.0,36.0,49.0,39.0,37.0
ICTEX,44.0,32.0,110.0,31.0,0.0,22.0,25.0,27.0,74.0,40.0,42.0
KTCAX,36.0,26.0,106.0,21.0,22.0,0.0,13.0,31.0,70.0,32.0,34.0
MTCAX,31.0,29.0,99.0,16.0,25.0,13.0,0.0,28.0,63.0,37.0,41.0
ROGSX,35.0,39.0,109.0,36.0,27.0,31.0,28.0,0.0,77.0,59.0,61.0
RSIFX,48.0,62.0,44.0,49.0,74.0,70.0,63.0,77.0,0.0,66.0,62.0
SHGTX,50.0,38.0,98.0,39.0,40.0,32.0,37.0,59.0,66.0,0.0,14.0
SLMCX,46.0,38.0,94.0,37.0,42.0,34.0,41.0,61.0,62.0,14.0,0.0
