,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,11.0,16.0,9.0,12.0,13.0,14.0,21.0,16.0,9.0,17.0
DFREX,11.0,0.0,14.0,10.0,6.0,13.0,7.0,17.0,17.0,14.0,12.0
DPREX,16.0,14.0,0.0,10.0,14.0,15.0,15.0,19.0,19.0,17.0,13.0
FREAX,9.0,10.0,10.0,0.0,10.0,12.0,10.0,21.0,16.0,13.0,14.0
FRESX,12.0,6.0,14.0,10.0,0.0,12.0,8.0,16.0,17.0,15.0,11.0
IARAX,13.0,13.0,15.0,12.0,12.0,0.0,16.0,11.0,12.0,9.0,10.0
PHRAX,14.0,7.0,15.0,10.0,8.0,16.0,0.0,20.0,18.0,15.0,11.0
RPFRX,21.0,17.0,19.0,21.0,16.0,11.0,20.0,0.0,14.0,16.0,12.0
SOAAX,16.0,17.0,19.0,16.0,17.0,12.0,18.0,14.0,0.0,13.0,18.0
STMDX,9.0,14.0,17.0,13.0,15.0,9.0,15.0,16.0,13.0,0.0,14.0
TRREX,17.0,12.0,13.0,14.0,11.0,10.0,11.0,12.0,18.0,14.0,0.0
