,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,16.0,47.0,16.0,16.0,18.0,20.0,23.0,20.0,9.0,21.0
DFREX,16.0,0.0,45.0,14.0,6.0,16.0,8.0,23.0,20.0,19.0,13.0
DPREX,47.0,45.0,0.0,41.0,43.0,47.0,45.0,52.0,45.0,48.0,44.0
FREAX,16.0,14.0,41.0,0.0,14.0,18.0,14.0,27.0,22.0,19.0,17.0
FRESX,16.0,6.0,43.0,14.0,0.0,14.0,8.0,21.0,18.0,19.0,11.0
IARAX,18.0,16.0,47.0,18.0,14.0,0.0,18.0,15.0,16.0,15.0,13.0
PHRAX,20.0,8.0,45.0,14.0,8.0,18.0,0.0,25.0,22.0,21.0,11.0
RPFRX,23.0,23.0,52.0,27.0,21.0,15.0,25.0,0.0,19.0,20.0,14.0
SOAAX,20.0,20.0,45.0,22.0,18.0,16.0,22.0,19.0,0.0,17.0,19.0
STMDX,9.0,19.0,48.0,19.0,19.0,15.0,21.0,20.0,17.0,0.0,18.0
TRREX,21.0,13.0,44.0,17.0,11.0,13.0,11.0,14.0,19.0,18.0,0.0
